,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.18,13.33,19.01,14.1,11.34,16.11,3.44,2.35,2.0,,2.3,3.0,3.23,1.49,2.62,1.14
f_1,13.33,0.18,14.32,9.83,11.71,19.92,2.08,5.03,2.83,2.64,2.72,,2.45,1.16,4.01,2.06
e_1,13.51,6.51,0.16,12.69,13.1,14.86,3.91,6.76,2.22,2.36,2.87,3.93,2.96,1.65,,2.18
c_1,19.74,16.61,11.35,0.15,14.11,11.19,4.9,3.25,,1.14,1.98,3.1,1.96,2.07,2.55,1.92
b_1,18.25,12.05,15.28,6.78,0.13,9.12,4.8,4.55,3.72,2.24,,2.76,2.2,1.99,1.52,2.07
a_1,11.34,19.92,13.38,11.69,6.25,0.09,4.37,3.53,2.86,2.21,3.19,2.82,,2.09,2.73,2.39
h_1,3.05,3.64,3.55,3.89,3.55,2.92,0.07,0.77,0.88,0.59,0.54,0.56,0.74,,0.73,0.45
g_1,3.61,3.64,4.5,2.84,2.98,5.13,0.56,0.06,0.69,0.9,0.63,0.68,0.78,0.44,0.82,
c_0,1.6,2.42,3.14,,2.86,2.72,0.64,0.87,0.08,0.72,0.49,0.38,0.6,0.32,0.54,0.39
d_0,,2.11,1.33,2.4,2.17,2.82,0.79,0.78,0.49,0.08,0.52,0.54,0.66,0.33,0.48,0.32
b_0,2.96,2.72,2.87,5.94,,2.66,0.54,0.47,0.31,0.51,0.07,0.55,0.5,0.44,,0.41
f_0,2.25,,2.72,2.62,3.62,2.35,0.93,0.52,0.55,0.42,0.51,0.07,0.52,0.38,0.44,0.23
a_0,2.26,2.87,2.57,2.85,4.4,,0.81,1.04,0.5,0.45,0.39,0.62,0.05,0.27,,0.37
h_0,1.36,1.79,1.4,1.46,1.99,2.09,,0.37,0.39,0.33,0.44,0.52,0.28,,0.29,0.2
e_0,3.84,2.81,,2.85,2.57,1.67,1.01,0.59,0.51,0.53,,0.19,,0.48,0.05,0.3
g_0,1.22,2.06,1.6,2.1,1.96,1.43,0.33,,0.39,0.7,0.45,0.26,0.45,0.18,0.32,
