,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,0.98,1.62,2.11,1.99,1.61,0.51,0.37,0.56,0.37,0.36,0.46,0.25,0.37,0.26,0.88
f_1,1.66,0.43,1.56,1.73,1.87,1.42,0.37,0.34,0.55,0.32,0.39,0.58,0.19,0.32,0.33,0.33
d_1,1.74,1.72,0.42,2.14,1.78,2.01,0.5,0.88,0.3,0.35,0.34,0.37,0.23,0.34,0.15,0.32
c_1,1.58,1.97,2.38,0.4,1.7,1.63,0.59,0.19,0.55,0.65,0.38,0.33,0.26,0.33,0.27,0.26
b_1,2.18,2.3,2.33,0.96,0.38,1.9,0.7,0.41,0.6,0.69,0.97,0.42,0.3,0.42,0.31,0.43
a_1,2.25,3.19,2.68,2.35,1.07,0.33,0.57,0.53,1.07,0.51,0.54,0.47,0.45,1.44,0.35,0.39
h_1,2.87,3.1,2.73,2.82,2.63,2.76,0.32,0.64,0.89,0.54,0.6,0.56,0.74,0.58,0.5,0.63
d_0,1.92,3.06,7.04,2.83,3.31,3.13,0.96,0.38,0.99,0.82,0.62,0.64,0.48,0.69,0.52,0.72
g_1,3.77,3.31,2.42,3.27,3.6,3.2,0.72,0.81,0.28,0.63,0.74,0.62,0.34,0.6,0.79,0.62
c_0,3.31,3.35,1.65,5.88,3.49,4.06,0.91,1.21,0.86,0.35,0.72,0.77,0.49,0.63,0.56,0.74
b_0,3.22,2.9,3.06,4.24,6.09,4.21,0.89,0.81,0.93,0.36,0.33,0.66,0.41,0.55,0.48,0.55
f_0,3.47,6.58,3.4,3.51,3.06,3.18,0.88,0.72,0.64,0.67,0.6,0.33,0.43,0.59,0.3,0.65
h_0,3.76,3.48,3.64,4.05,4.58,3.35,1.71,0.79,1.12,0.74,0.76,0.82,0.95,0.6,0.59,0.73
a_0,4.76,4.24,3.42,3.84,5.71,8.61,1.39,0.79,1.11,0.73,0.46,0.86,0.72,0.31,0.65,1.09
g_0,3.98,4.73,4.03,4.49,5.41,4.0,0.81,0.95,2.1,0.73,0.76,0.74,0.48,0.86,0.82,1.03
e_0,7.95,5.57,4.55,3.96,3.41,4.27,1.01,0.83,1.06,0.79,0.79,0.43,0.63,0.86,0.45,0.3
