,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.9,0.2,0.41,0.19,0.17,0.08,0.2,0.19,0.14,0.16,0.19,0.07,0.17,0.1,0.06,0.13
d_1,0.27,0.9,0.19,0.15,0.17,0.13,0.2,0.1,0.17,0.36,0.19,0.16,0.21,0.15,0.13,0.15
e_1,0.24,0.2,0.89,0.25,0.16,0.13,0.18,0.37,0.14,0.18,0.2,0.18,0.2,0.11,0.07,0.15
c_1,0.23,0.21,0.19,0.89,0.32,0.14,0.15,0.2,0.15,0.07,0.15,0.15,0.19,0.12,0.09,0.15
b_1,0.19,0.26,0.2,0.18,0.89,0.26,0.19,0.17,0.14,0.17,0.07,0.15,0.21,0.08,0.1,0.17
a_1,0.27,0.24,0.21,0.18,0.2,0.88,0.19,0.2,0.16,0.19,0.16,0.16,0.21,0.07,0.14,0.14
h_1,0.37,0.25,0.26,0.3,0.18,0.15,0.58,0.21,0.27,0.21,0.23,0.19,0.15,0.13,0.14,0.25
d_0,0.28,0.17,0.22,0.52,0.21,0.15,0.24,0.44,0.16,0.16,0.27,0.22,0.21,0.15,0.15,0.17
g_1,0.27,0.4,0.21,0.27,0.2,0.13,0.24,0.21,0.57,0.22,0.23,0.3,0.25,0.17,0.16,0.15
c_0,0.31,0.24,0.3,0.17,0.16,0.18,0.25,0.28,0.2,0.46,0.49,0.23,0.26,0.16,0.15,0.22
b_0,0.3,0.27,0.26,0.3,0.12,0.14,0.27,0.27,0.22,0.21,0.46,0.2,0.31,0.33,0.19,0.21
f_0,0.21,0.28,0.2,0.29,0.25,0.19,0.23,0.27,0.2,0.28,0.22,0.44,0.23,0.16,0.32,0.2
h_0,0.44,0.26,0.24,0.26,0.19,0.13,0.18,0.25,0.27,0.2,0.19,0.19,0.16,0.14,0.15,0.24
a_0,0.26,0.28,0.25,0.26,0.23,0.1,0.31,0.28,0.18,0.28,0.23,0.26,0.32,0.41,0.16,0.25
e_0,0.35,0.26,0.14,0.3,0.19,0.17,0.29,0.25,0.25,0.26,0.25,0.19,0.32,0.21,0.41,0.18
g_0,0.26,0.38,0.21,0.26,0.21,0.18,0.2,0.22,0.12,0.24,0.23,0.31,0.2,0.16,0.18,0.13
