,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,2.02,3.17,3.73,3.95,4.67,2.19,1.64,2.16,1.82,1.49,1.92,1.11,2.04,1.57,
f_1,4.63,0.41,3.67,3.65,3.86,3.58,1.37,1.69,1.58,1.3,1.62,,1.12,1.53,1.63,1.25
d_1,4.82,3.17,0.4,3.24,3.25,3.68,1.93,,1.31,2.24,1.91,1.36,1.47,1.48,0.91,1.33
c_1,3.54,3.46,4.44,0.4,3.99,3.99,2.92,0.99,2.06,,1.31,1.44,1.29,2.23,1.2,1.29
b_1,3.1,3.5,3.43,2.39,0.38,3.5,2.13,1.51,1.88,1.92,,1.73,1.11,2.11,1.5,
a_1,3.18,4.47,3.87,2.96,2.31,0.31,1.63,1.55,,1.62,1.76,1.88,1.85,,1.3,1.6
h_1,1.51,2.3,1.59,1.5,1.54,1.97,0.26,0.95,1.2,0.72,0.63,0.72,,0.82,0.94,0.96
d_0,1.26,1.64,,1.9,2.07,1.49,0.77,0.29,0.67,0.55,0.92,0.67,0.64,0.64,0.51,0.79
g_1,1.9,2.41,2.1,1.58,1.88,,0.65,1.12,0.23,0.97,1.13,0.78,0.5,0.62,,0.92
c_0,1.34,1.79,0.95,,1.44,1.41,1.18,0.85,0.77,0.28,0.84,0.77,0.71,0.68,0.56,0.59
b_0,1.89,1.67,1.52,2.12,,1.65,1.06,0.57,0.82,0.48,0.26,0.98,0.5,0.91,0.52,0.51
f_0,1.77,,1.58,1.64,1.48,1.34,0.94,0.8,0.57,0.66,0.6,0.26,0.86,0.63,0.45,
h_0,1.3,1.37,1.25,1.33,1.42,1.14,,0.53,0.87,0.51,0.57,0.47,,0.51,0.46,0.65
a_0,1.22,2.04,1.94,1.67,1.94,,0.82,0.81,1.03,0.94,0.37,0.7,0.58,0.22,,
g_0,1.57,1.11,1.5,1.43,1.18,1.77,0.39,0.7,,0.58,0.78,0.57,0.46,,,
e_0,,2.5,1.8,1.73,,1.37,0.75,0.57,0.84,0.83,0.84,,0.5,,,0.2
