,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.98,0.7,0.81,1.02,0.95,0.47,0.48,0.59,0.38,0.38,0.43,0.37,0.26,,0.33
d_1,1.02,1.0,1.03,1.03,0.97,0.67,0.64,0.36,,0.55,0.5,0.4,0.25,0.41,0.27,0.26
f_1,1.43,0.97,1.0,0.88,0.96,1.14,0.39,0.49,0.42,0.45,0.38,,0.28,0.44,0.27,0.32
c_1,1.23,0.97,1.14,1.0,1.33,0.76,0.54,0.41,0.35,,0.37,0.37,0.39,0.36,0.36,0.29
b_1,0.98,1.03,1.04,0.75,1.0,1.16,0.6,0.62,0.51,0.54,,0.41,0.38,,0.38,0.35
a_1,1.05,1.49,0.88,1.31,0.86,1.0,0.47,0.81,0.62,0.74,0.51,0.61,0.59,,,0.45
h_1,2.12,1.57,2.57,1.84,1.66,2.14,1.0,1.06,0.97,1.01,0.86,0.68,,0.59,0.55,0.69
g_1,2.07,2.74,2.03,2.43,1.61,1.24,0.94,1.0,0.81,0.92,0.7,1.15,0.66,0.69,0.75,
d_0,1.7,,2.4,2.82,1.97,1.61,1.03,1.23,1.0,1.03,0.9,0.82,0.9,0.83,0.61,0.79
c_0,2.66,1.82,2.23,,1.86,1.36,0.99,1.09,0.97,1.0,1.41,1.0,0.99,0.72,0.74,0.48
b_0,2.62,2.0,2.61,2.69,,1.95,1.16,1.43,1.11,0.71,1.0,0.86,0.73,1.11,0.75,0.61
f_0,2.31,2.5,,2.68,2.42,1.64,1.48,0.87,1.22,1.0,1.16,1.0,0.84,0.84,1.31,0.65
h_0,2.73,3.95,3.62,2.56,2.61,1.69,,1.5,1.11,1.01,1.36,1.19,,0.74,0.88,1.1
a_0,3.9,2.42,2.27,2.75,,,1.7,1.45,1.21,1.38,0.9,1.19,1.36,1.0,0.87,0.97
e_0,,3.67,3.69,2.79,2.61,,1.8,1.33,1.64,1.36,1.34,0.76,1.14,1.15,1.0,
g_0,3.0,3.87,3.08,3.51,2.88,2.2,1.45,,1.26,2.09,1.65,1.55,0.91,1.03,,
