,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.91,0.76,0.68,0.8,0.77,0.35,0.39,0.37,0.47,0.33,0.46,0.23,0.32,0.32,0.37
e_1,0.54,0.42,1.05,0.78,0.81,0.92,0.46,0.44,0.36,0.48,0.4,0.45,0.36,0.56,0.39,0.35
c_1,0.87,0.61,0.39,0.96,0.98,0.84,0.5,0.23,0.46,0.37,0.3,0.33,0.31,0.36,0.32,0.3
d_1,0.87,0.87,0.85,0.38,0.8,0.7,0.38,0.56,0.39,0.32,0.4,0.33,0.33,0.28,0.34,0.2
b_1,0.9,1.0,0.48,0.86,0.37,0.95,0.45,0.37,0.42,0.47,0.62,0.39,0.36,0.33,0.36,0.33
a_1,0.92,0.81,0.82,1.05,0.46,0.31,0.52,0.45,0.41,0.48,0.61,0.38,0.3,0.43,1.13,0.34
h_1,0.74,0.77,0.73,0.74,0.69,0.55,0.24,0.33,0.29,0.45,0.3,0.33,0.34,0.32,0.39,0.32
d_0,0.72,0.47,0.88,0.88,0.85,0.63,0.42,0.26,0.32,0.45,0.35,0.34,0.28,0.34,0.28,0.36
c_0,0.79,0.72,1.21,0.45,0.74,0.65,0.41,0.39,0.24,0.44,0.39,0.36,0.26,0.32,0.33,0.27
g_1,0.75,0.69,0.82,0.79,0.76,0.6,0.31,0.33,0.31,0.22,0.32,0.33,0.22,0.35,0.36,0.26
b_0,0.77,0.62,1.09,0.6,1.26,0.57,0.39,0.34,0.19,0.39,0.22,0.29,0.26,0.34,0.37,0.26
f_0,1.03,0.72,0.73,0.73,0.71,0.6,0.36,0.33,0.31,0.28,0.34,0.21,0.29,0.35,0.34,0.18
h_0,0.83,0.64,0.75,0.63,0.7,0.7,0.51,0.34,0.31,0.42,0.31,0.33,0.33,0.32,0.28,0.32
e_0,1.09,0.77,0.63,0.8,0.68,0.63,0.38,0.28,0.33,0.33,0.3,0.2,0.3,0.2,0.31,0.27
a_0,0.76,0.66,0.93,0.73,0.98,0.73,0.38,0.36,0.27,0.39,0.17,0.29,0.29,0.33,0.19,0.24
g_0,0.68,0.74,0.81,0.79,0.66,0.71,0.29,0.3,0.3,0.6,0.32,0.34,0.21,0.27,0.32,0.32
