,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,1.0,0.85,0.91,0.8,0.7,0.58,0.67,0.8,0.67,0.63,0.58,0.63,0.48,0.57
f_1,0.93,1.0,1.23,0.98,0.9,0.79,0.6,0.68,0.68,0.6,0.59,0.56,0.53,0.51,0.58,0.43
e_1,1.0,0.83,1.0,1.09,0.95,0.87,0.72,0.72,0.88,0.67,0.69,0.66,0.57,0.6,0.58,0.54
c_1,1.18,0.98,0.92,1.0,1.3,0.84,0.72,0.72,0.51,0.57,0.53,0.69,0.65,0.56,0.59,0.56
b_1,1.09,1.13,1.04,0.81,1.0,1.28,0.75,0.69,0.67,0.77,0.73,0.66,0.65,0.61,0.64,0.62
a_1,1.21,1.21,1.12,1.21,0.8,1.0,0.99,0.87,0.84,0.8,0.86,0.69,0.81,0.81,0.7,0.7
h_1,1.43,1.63,1.41,1.38,1.27,1.04,1.0,1.15,0.86,0.85,0.83,0.77,0.91,0.8,0.87,0.76
g_1,1.72,1.46,1.36,1.36,1.41,1.12,0.86,1.0,0.91,1.01,0.95,1.09,0.8,0.84,0.79,0.92
d_0,1.49,1.49,1.17,2.01,1.45,1.14,1.12,1.05,1.0,0.9,1.02,0.86,0.98,0.78,0.85,0.94
c_0,1.27,1.69,1.51,1.74,1.32,1.24,1.18,1.02,1.16,1.0,1.34,0.96,1.0,0.99,0.89,1.01
b_0,1.53,1.69,1.46,1.81,1.34,1.14,1.16,1.05,0.97,0.75,1.0,0.96,0.89,1.14,0.9,0.79
f_0,1.58,1.71,1.47,1.46,1.51,1.5,1.19,0.9,1.04,1.08,1.07,1.0,0.95,0.96,0.75,1.45
h_0,1.71,1.92,1.74,1.55,1.57,1.28,1.11,1.21,1.04,1.01,1.1,1.03,1.0,0.9,1.08,0.84
a_0,1.69,2.07,1.71,1.77,1.61,1.17,1.28,1.27,1.22,1.03,0.92,0.98,1.08,1.0,0.96,0.88
g_0,2.02,1.74,1.68,1.69,1.6,1.46,1.15,1.23,1.05,1.15,1.19,1.34,0.94,1.04,1.0,1.15
e_0,1.77,2.19,1.9,1.7,1.76,1.53,1.26,1.1,1.0,0.94,1.18,0.77,1.15,1.07,0.89,1.0
