,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.25,0.03,0.02,0.02,0.02,0.02,0.06,0.04,0.13,,0.06,0.06,0.04,0.07,0.06,0.08
f_1,0.03,2.25,0.06,0.03,0.03,0.03,0.06,0.04,0.05,0.05,0.05,,0.04,0.11,0.03,0.05
e_1,0.03,0.03,2.33,0.03,0.03,0.01,0.07,0.04,0.06,0.12,0.06,0.05,0.05,0.05,,0.05
c_1,0.03,0.02,0.03,2.37,0.05,0.01,0.06,0.03,,0.06,0.06,0.07,0.06,0.08,0.06,0.07
b_1,0.03,0.03,0.03,0.03,2.5,0.03,0.04,0.07,0.06,0.07,,0.06,0.04,0.07,0.04,0.07
a_1,0.03,0.04,0.02,0.03,0.02,3.1,0.05,0.05,0.08,0.05,0.04,0.05,,0.09,,0.06
h_1,0.12,0.15,0.06,0.09,0.08,0.09,2.63,0.25,0.28,0.21,0.25,0.2,0.25,,0.23,0.31
g_1,0.21,0.1,0.11,0.09,0.12,0.07,0.13,2.92,0.18,0.14,0.25,0.35,0.18,0.21,0.21,
c_0,0.14,0.18,0.13,,0.12,0.07,0.32,0.27,2.05,0.35,0.47,0.33,0.19,0.32,0.24,0.32
d_0,,0.16,0.15,0.29,0.11,0.11,0.26,0.22,0.24,2.08,0.27,0.27,0.19,0.42,0.26,0.4
b_0,0.14,0.14,0.07,0.11,,0.08,0.37,0.17,0.34,0.46,2.23,0.34,0.37,0.46,0.18,0.38
f_0,0.17,,0.15,0.11,0.14,0.1,0.26,0.22,0.34,0.3,0.33,2.17,0.23,0.36,0.4,0.44
a_0,0.12,0.16,0.16,0.14,0.15,,0.33,0.24,0.2,0.31,0.24,0.24,2.56,0.48,0.27,0.29
h_0,0.25,0.29,0.23,0.17,0.2,0.19,,0.65,0.33,0.42,0.38,0.3,0.39,,0.23,0.8
e_0,0.13,0.19,,0.13,0.1,,0.35,0.27,0.37,0.32,0.27,0.29,0.24,0.39,2.54,0.33
g_0,0.23,0.15,0.22,0.28,0.17,0.14,0.4,,0.51,0.37,0.45,0.61,0.42,0.69,0.37,
