,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.38,1.44,1.28,1.82,1.45,1.54,2.72,5.12,3.07,2.89,3.56,3.3,3.57,4.44,4.33,3.13
f_1,2.08,2.39,1.36,1.5,1.4,1.28,2.65,3.14,3.05,3.25,2.96,2.22,3.11,3.67,3.46,2.45
d_1,1.56,1.63,2.55,1.21,1.37,1.4,2.91,2.63,2.35,5.16,3.77,3.36,3.55,4.36,4.02,3.68
c_1,1.3,1.45,1.58,2.62,2.43,1.49,2.93,2.43,2.86,2.2,2.53,2.92,2.78,3.54,3.18,3.36
b_1,1.34,1.41,1.6,1.26,2.96,2.75,2.92,2.77,2.91,3.25,2.55,3.6,2.75,4.39,3.94,3.5
a_1,1.51,1.64,1.6,1.56,1.12,3.35,3.31,3.23,2.97,3.49,3.75,3.55,2.48,4.2,5.15,3.39
h_1,1.53,1.95,1.67,1.44,1.5,1.33,4.04,2.97,3.43,3.23,3.09,3.12,3.33,3.55,4.78,3.82
d_0,1.24,1.59,1.3,2.58,1.71,1.48,3.01,4.16,3.15,2.3,3.28,3.34,3.45,3.99,4.06,3.67
g_1,1.39,1.25,2.26,1.57,1.48,1.43,2.83,2.9,4.76,3.48,3.63,5.06,3.64,3.46,3.82,4.26
c_0,1.76,1.55,1.37,1.62,1.28,1.43,3.09,4.26,2.95,4.33,5.53,3.76,4.18,4.65,5.15,3.57
b_0,1.47,1.78,1.58,1.94,1.38,1.02,3.05,3.7,3.03,2.65,4.57,3.66,5.9,4.2,4.11,3.74
f_0,1.4,1.51,1.78,1.69,1.49,1.49,2.99,3.33,2.65,3.25,3.7,4.73,3.76,4.64,4.44,6.75
a_0,1.44,1.62,1.72,1.95,1.75,1.13,3.1,3.54,3.06,2.92,2.88,3.3,5.16,4.2,3.93,4.19
h_0,1.51,1.87,1.6,1.61,1.28,1.67,2.77,3.6,4.03,2.99,3.32,3.16,3.51,3.43,5.29,3.32
g_0,1.39,1.56,2.12,1.67,1.45,1.25,2.93,3.18,2.3,3.12,3.64,4.37,4.15,3.85,3.83,3.98
e_0,1.18,2.04,1.68,1.63,1.72,1.45,3.0,3.28,2.91,3.35,3.43,2.85,3.42,4.69,4.06,5.2
