,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,13837.94,3018.45,2733.2,3553.28,10106.79,20017.27,3082546.14,5316563.93,9863464.53,4076491.16,26944274.91,19672057.64,129989296.79,103150759.5,99985059.15,189146427.05
f_1,3113.98,14089.5,3828.31,6447.59,4073.52,20098.1,2900597.39,5607275.47,8448473.76,13295407.26,8589095.06,29713619.08,118604161.74,50593216.29,122848674.64,166171437.41
d_1,2321.14,3333.63,16242.34,2909.3,4796.88,26132.7,3351787.49,6143115.53,4788111.57,29889975.24,29314016.32,38379733.11,132248511.73,122862917.68,132101113.11,227377839.33
e_1,3414.22,3088.61,2641.82,18135.03,5355.96,28957.01,2473054.86,5523752.95,20557341.09,13382083.49,25674150.0,29169193.01,143940376.94,45976110.57,118375763.58,244199236.29
b_1,2744.06,3104.6,2946.16,3649.85,27629.75,67131.53,3229541.8,4586985.88,10201871.55,12168041.46,25161917.35,8642951.25,122527682.68,98543079.15,97083972.51,179404788.63
a_1,3846.83,3102.65,3041.67,2975.16,4550.07,246278.98,2807610.78,6466224.76,10678232.42,14444179.21,25669138.11,25569361.71,130448103.99,138490086.77,50166683.88,233518616.53
h_1,3401.02,5168.06,4262.21,3994.12,5046.53,39572.98,9804818.24,8717294.45,10770166.45,19376686.17,27626070.55,35148869.06,92891100.06,116259606.22,159248503.84,321377407.44
g_1,2999.26,3148.37,6689.42,3838.37,5650.9,26462.38,3881308.15,22766068.92,11110197.94,18112609.04,50382272.2,32076020.56,148935658.14,144338233.42,135630702.13,155643140.69
d_0,7391.78,3508.57,1990.18,4467.08,6173.18,34593.68,3035909.75,6276726.66,25822439.53,12115577.54,33199552.97,31775422.05,147250404.21,117743400.0,134634536.11,242401206.55
c_0,2189.19,4051.91,5102.95,3995.53,4512.77,35809.67,3825434.27,7493716.21,11716978.9,39402250.13,35546200.69,77639946.32,171488215.84,148363974.61,165792219.0,341374709.57
f_0,4119.55,2072.1,5240.85,3870.53,6311.91,40811.02,3699150.25,6650872.27,10297982.97,18825707.65,72720123.74,39036844.52,153788131.65,244020686.52,166976910.71,277052709.95
b_0,3649.91,4783.93,4426.85,4502.39,2869.42,25153.34,3648570.03,7962476.1,13195644.62,18196045.71,27511260.9,80238507.79,199906263.04,153296595.06,278663121.06,289414818.71
h_0,3417.81,5028.32,4492.93,4314.56,5684.39,33687.51,2171767.88,11181701.88,13177041.73,17508331.08,28657563.44,32595196.12,98753459.86,123711194.5,153497470.92,375496346.82
e_0,4080.18,4583.76,4851.47,1617.24,7057.3,35678.5,4598249.27,7730559.32,9967470.35,13985633.84,30190684.12,36971403.01,188891391.53,417634954.5,156061335.72,255415276.93
a_0,4106.39,3930.8,5476.7,3876.1,5287.56,19851.01,4096654.53,6727477.24,12054802.63,15121766.56,20835571.49,26040727.34,172985529.2,109348794.03,429609716.13,283860492.2
g_0,3995.73,3023.44,6645.36,3817.06,6240.67,28339.73,3271212.33,4327553.74,12258960.0,18977018.1,42651410.46,33945501.44,173537940.35,121913441.54,139402800.05,177886900.01
