,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.26,0.92,0.9,0.78,0.62,0.4,0.43,0.41,0.35,0.37,0.35,0.3,0.29,0.29,0.22
e_1,0.81,1.0,0.93,1.07,0.91,0.77,0.5,0.46,0.58,0.41,0.43,0.43,0.36,0.32,0.35,0.31
d_1,1.09,1.03,1.0,0.97,0.88,0.69,0.5,0.39,0.45,0.51,0.44,0.37,0.36,0.37,0.27,0.32
c_1,1.11,0.95,1.0,1.0,1.24,0.87,0.51,0.47,0.34,0.41,0.35,0.4,0.39,0.37,0.32,0.33
b_1,1.27,1.1,1.11,0.83,1.0,1.17,0.6,0.51,0.5,0.53,0.47,0.43,0.44,0.33,0.4,0.36
a_1,1.59,1.32,1.46,1.13,0.89,1.0,0.77,0.62,0.57,0.66,0.66,0.55,0.54,0.47,0.42,0.44
h_1,2.52,2.03,2.01,1.97,1.68,1.28,1.0,1.02,0.91,0.77,0.8,0.69,0.69,0.64,0.74,0.64
g_1,2.26,2.18,2.48,2.15,1.97,1.58,1.0,1.0,0.97,0.91,0.95,0.96,0.71,0.76,0.73,0.69
d_0,2.37,1.81,2.18,3.04,2.01,1.69,1.12,1.02,1.0,0.8,1.03,0.86,0.89,0.83,0.73,0.76
c_0,2.86,2.37,1.97,2.49,1.85,1.57,1.27,1.12,1.16,1.0,1.33,0.86,0.95,0.91,0.76,0.81
b_0,2.82,2.29,2.23,2.8,2.05,1.49,1.26,1.14,0.99,0.78,1.0,0.87,0.9,1.12,0.71,0.77
f_0,2.87,2.33,2.64,2.55,2.34,1.89,1.44,1.02,1.12,1.09,1.16,1.0,0.96,0.98,0.71,1.19
h_0,3.3,2.85,2.8,2.59,2.28,1.83,1.49,1.44,1.13,1.06,1.12,0.97,1.0,0.92,0.94,0.74
a_0,3.63,3.07,2.75,2.84,2.82,2.05,1.55,1.3,1.27,1.05,0.92,1.09,1.06,1.0,0.97,0.9
g_0,3.24,2.92,3.64,3.06,2.63,2.26,1.3,1.45,1.42,1.28,1.36,1.44,1.07,1.11,1.0,1.07
e_0,4.59,3.29,3.06,3.12,2.92,2.13,1.53,1.44,1.34,1.26,1.27,0.82,1.28,1.12,0.95,1.0
