,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.27,1.02,0.98,0.85,0.83,0.86,1.03,1.07,0.98,0.96,0.89,0.88,0.97,0.99,0.89
e_1,0.81,1.0,1.17,0.96,1.12,1.01,1.03,1.04,1.34,1.0,1.01,1.17,1.07,1.01,1.08,1.1
c_1,0.98,0.84,1.0,1.07,1.27,1.03,1.09,1.04,0.73,0.85,0.84,1.0,0.95,0.92,1.03,1.0
d_1,1.06,1.05,0.94,1.0,0.97,0.97,0.95,0.87,0.98,1.24,1.04,0.98,1.0,0.99,0.84,1.01
b_1,1.17,0.9,0.8,1.04,1.0,1.34,1.1,1.05,0.93,1.11,1.11,1.0,1.02,0.94,1.09,0.86
a_1,1.14,0.98,0.98,0.96,0.76,1.0,1.11,1.07,1.14,0.98,1.02,1.09,1.17,1.13,1.08,0.94
h_1,1.14,0.96,0.93,1.04,0.89,0.91,1.0,1.04,0.95,0.97,1.01,0.9,1.03,0.91,1.09,0.94
g_1,0.96,0.98,0.93,1.12,0.95,0.98,0.96,1.0,0.92,0.97,1.04,1.11,0.91,1.05,0.98,1.07
d_0,0.91,0.75,1.37,0.97,1.1,0.9,1.07,1.12,1.0,0.79,0.98,1.06,1.06,1.1,1.07,1.14
c_0,1.03,1.03,1.17,0.83,0.85,0.96,0.99,1.02,1.22,1.0,1.31,1.03,1.12,1.27,1.1,1.15
b_0,1.03,0.99,1.16,0.98,0.91,0.99,0.99,0.94,0.97,0.75,1.0,0.93,0.99,1.33,0.98,0.99
f_0,1.09,0.93,0.98,1.03,0.96,0.95,1.09,0.9,0.98,0.99,1.07,1.0,1.08,1.04,0.86,1.43
h_0,1.11,0.95,1.02,0.98,0.97,0.86,0.97,1.12,0.97,0.92,1.0,0.91,1.0,1.0,1.07,0.94
a_0,1.0,0.98,1.08,1.05,1.05,0.84,1.06,0.96,0.89,0.78,0.75,1.0,0.96,1.0,0.96,1.11
g_0,1.02,0.95,0.99,1.16,0.92,0.86,0.91,0.98,0.88,0.9,1.01,1.15,0.95,1.01,1.0,1.16
e_0,1.11,0.91,1.03,0.96,1.15,1.08,1.09,0.94,0.95,0.81,1.08,0.72,1.03,0.88,0.89,1.0
