,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.37,0.15,0.16,0.14,0.08,0.16,0.16,0.1,0.12,0.14,0.05,0.17,0.09,0.08,0.13
e_1,0.22,0.89,0.24,0.13,0.15,0.09,0.15,0.34,0.12,0.15,0.14,0.14,0.16,0.09,0.04,0.14
c_1,0.18,0.16,0.89,0.15,0.31,0.12,0.16,0.17,0.11,0.04,0.1,0.13,0.16,0.11,0.11,0.13
d_1,0.23,0.16,0.14,0.9,0.14,0.08,0.17,0.1,0.14,0.34,0.2,0.13,0.2,0.12,0.12,0.14
b_1,0.2,0.17,0.19,0.15,0.88,0.22,0.17,0.18,0.11,0.13,0.04,0.15,0.15,0.08,0.12,0.11
a_1,0.2,0.2,0.19,0.21,0.13,0.87,0.14,0.2,0.16,0.14,0.11,0.15,0.19,0.05,0.08,0.11
h_1,0.35,0.24,0.2,0.25,0.14,0.1,0.56,0.17,0.2,0.18,0.16,0.12,0.11,0.12,0.12,0.21
d_0,0.26,0.24,0.4,0.11,0.19,0.12,0.19,0.44,0.14,0.15,0.19,0.13,0.18,0.12,0.12,0.15
g_1,0.2,0.18,0.22,0.38,0.17,0.11,0.16,0.2,0.54,0.2,0.17,0.28,0.18,0.1,0.15,0.1
c_0,0.29,0.2,0.15,0.26,0.15,0.12,0.2,0.28,0.17,0.45,0.37,0.16,0.26,0.15,0.14,0.17
b_0,0.27,0.26,0.24,0.25,0.07,0.06,0.2,0.26,0.19,0.26,0.45,0.17,0.26,0.27,0.12,0.18
f_0,0.15,0.22,0.25,0.28,0.17,0.12,0.19,0.23,0.17,0.18,0.17,0.42,0.23,0.13,0.28,0.19
h_0,0.36,0.24,0.2,0.27,0.18,0.11,0.11,0.19,0.2,0.18,0.16,0.15,0.12,0.12,0.14,0.23
a_0,0.26,0.27,0.26,0.25,0.15,0.04,0.23,0.19,0.16,0.17,0.15,0.16,0.2,0.37,0.15,0.17
e_0,0.26,0.09,0.25,0.29,0.22,0.09,0.22,0.24,0.15,0.19,0.21,0.14,0.24,0.15,0.39,0.19
g_0,0.26,0.18,0.24,0.32,0.18,0.16,0.16,0.16,0.1,0.18,0.15,0.24,0.24,0.14,0.14,0.1
