,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.42,1.47,1.15,1.16,1.19,1.11,0.31,0.36,0.21,0.23,0.23,0.21,0.15,0.2,0.18,0.11
e_1,1.27,0.42,0.69,1.23,1.23,1.15,0.35,0.27,0.4,0.28,0.3,0.25,0.19,0.25,0.49,0.21
f_1,1.09,1.03,0.41,1.27,1.35,1.19,0.24,0.26,0.39,0.22,0.33,0.21,0.12,0.21,0.21,0.19
c_1,1.47,0.97,1.31,0.41,1.11,1.28,0.34,0.14,0.37,0.36,0.23,0.23,0.18,0.24,0.24,0.2
b_1,1.42,1.35,1.8,0.76,0.38,1.19,0.4,0.26,0.41,0.41,0.26,0.67,0.21,0.29,0.27,0.21
a_1,1.66,1.34,1.6,1.84,0.8,0.33,0.56,0.34,0.5,0.37,0.36,0.44,0.27,0.57,0.37,0.24
h_1,2.07,2.03,2.47,2.23,1.92,1.84,0.3,0.46,0.77,0.43,0.46,0.48,0.48,0.43,0.38,0.35
d_0,3.37,1.4,2.28,2.42,2.81,2.2,0.71,0.35,0.74,0.51,0.45,0.51,0.38,0.47,0.48,0.43
g_1,2.35,2.32,2.53,2.72,2.81,1.73,0.51,0.59,0.28,0.51,0.44,0.51,0.3,0.51,0.49,0.44
c_0,1.37,2.96,2.59,4.23,2.53,2.06,0.76,0.85,0.69,0.32,0.53,0.6,0.41,0.5,0.49,0.4
f_0,2.29,2.64,3.8,2.6,2.6,2.18,0.73,0.55,0.49,0.57,0.31,0.52,0.38,0.43,0.48,0.24
b_0,2.06,2.38,2.67,3.66,3.39,2.33,0.75,0.69,0.67,0.29,0.54,0.31,0.37,0.59,0.55,0.37
h_0,2.7,2.62,3.09,2.72,3.38,2.53,1.11,0.64,0.77,0.58,0.59,0.53,0.57,0.56,0.5,0.42
a_0,2.56,3.45,3.21,3.26,3.56,4.39,0.78,0.88,0.62,0.56,0.56,0.32,0.47,0.29,0.53,0.44
e_0,2.46,4.86,5.27,3.31,2.79,2.43,0.85,0.67,0.65,0.59,0.33,0.66,0.44,0.51,0.29,0.4
g_0,2.88,3.53,3.82,2.7,2.68,3.08,0.72,0.75,1.13,0.64,0.66,0.71,0.38,0.63,0.59,0.49
