,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,113.15,46.48,91.34,68.13,76.03,295.74,6247.19,11346.95,17432.04,19524.0,14355.01,30979.39,68627.78,118520.8,114024.82,86546.58
d_1,61.07,116.98,57.0,56.32,88.12,247.18,6699.86,13176.82,11920.98,37220.81,28940.72,39365.06,87879.03,108256.46,119129.15,120980.95
e_1,44.69,45.57,119.97,72.15,95.56,371.81,7203.88,13286.38,27034.16,23465.59,29068.74,37850.77,90901.01,122092.14,112147.23,98934.68
c_1,49.46,52.29,45.56,139.16,138.55,218.59,5905.65,10590.18,13053.1,9844.92,22051.21,24137.63,77406.25,107428.08,99534.56,121068.84
b_1,48.31,44.81,42.16,49.51,179.17,462.45,6496.42,11320.78,13654.79,20317.17,22166.59,19016.25,62530.45,105775.27,80148.1,115046.8
a_1,30.57,36.22,25.64,43.97,36.88,518.83,3983.87,7668.75,9996.86,12483.06,16824.08,20420.95,45117.1,61218.3,28237.0,66648.1
h_1,17.45,14.39,13.24,22.22,22.43,74.88,3111.27,4465.01,4444.09,5964.04,6459.13,9657.63,14692.35,41408.2,27398.38,37720.9
g_1,10.28,15.87,11.07,15.69,16.23,71.41,1192.91,5252.76,3064.64,5303.6,7440.95,7984.06,15349.88,16671.24,19881.16,29224.43
d_0,10.2,9.33,9.74,23.01,19.04,64.69,1593.48,3205.65,5109.11,3940.37,4693.11,6785.7,15892.9,23209.45,27552.74,24699.88
c_0,10.0,9.45,9.81,10.4,15.33,70.34,1437.24,2852.88,3843.88,6518.65,5990.19,11000.52,17832.71,23084.92,26657.32,29654.3
f_0,7.0,11.44,8.16,12.96,17.58,60.33,1368.13,2779.14,3348.77,4337.82,7469.48,7066.4,15160.54,19498.07,22807.76,40178.52
b_0,9.48,9.96,7.75,14.39,9.97,47.37,1238.18,1969.2,3022.03,3154.01,4537.93,8523.01,15023.37,20419.17,34197.61,22813.83
h_0,9.01,7.82,6.99,8.56,12.48,38.94,733.53,2129.35,2141.04,2864.21,3881.54,4694.87,8194.62,19805.7,15057.98,14887.31
g_0,5.24,8.72,6.33,8.12,9.38,38.65,794.56,1374.81,1952.79,2893.95,4461.96,4401.22,7622.45,10172.69,14395.26,14844.94
a_0,5.5,6.86,6.06,7.87,10.36,31.78,946.41,1469.44,1856.93,2116.66,3261.08,3061.26,10344.8,15426.11,22851.95,10321.34
e_0,5.93,6.85,3.71,7.56,10.08,35.05,904.73,1655.02,1870.51,2233.89,2561.14,4365.48,10642.94,15192.79,16720.54,24656.73
