,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.92,0.97,0.78,0.86,0.73,0.66,0.99,0.68,0.72,0.69,0.66,0.65,0.53,0.84
f_1,1.2,1.0,1.03,0.92,0.8,0.9,0.65,0.88,0.63,0.56,0.64,0.66,0.58,0.43,0.68,0.4
d_1,1.09,0.97,1.0,0.96,0.94,0.87,0.81,0.56,0.57,0.85,0.74,0.55,0.56,0.62,0.47,0.47
c_1,1.03,1.09,1.05,1.0,1.37,0.66,0.68,0.63,0.46,0.51,0.55,0.58,0.61,0.67,0.61,0.61
b_1,1.29,1.25,1.07,0.73,1.0,1.2,0.66,0.68,0.68,0.67,0.48,0.9,0.65,0.64,0.52,0.49
a_1,1.16,1.11,1.15,1.52,0.83,1.0,1.15,0.77,0.85,0.82,0.73,0.64,0.8,0.79,0.61,0.83
h_1,1.4,1.56,1.27,1.47,1.47,0.86,1.0,1.03,0.91,0.95,0.97,0.87,0.74,0.94,1.02,0.9
g_1,1.43,1.16,1.81,1.62,1.43,1.26,0.97,1.0,0.85,0.92,0.8,1.04,0.72,0.66,0.74,0.82
d_0,1.02,1.58,1.89,2.21,1.41,1.16,1.09,1.24,1.0,0.94,0.96,0.98,0.72,0.96,0.84,0.81
c_0,1.42,1.91,1.16,1.85,1.46,1.35,1.03,1.08,1.06,1.0,1.33,1.19,0.97,0.98,0.93,0.8
b_0,1.41,1.56,1.26,1.78,1.78,1.48,1.05,1.24,1.06,0.75,1.0,1.07,1.23,1.11,1.05,0.82
f_0,1.37,1.59,1.67,1.67,1.18,1.47,1.23,0.97,1.04,0.85,0.97,1.0,1.03,1.31,0.67,1.3
a_0,1.5,1.71,1.87,1.77,1.56,,1.36,1.36,1.36,0.98,0.85,1.0,1.0,0.77,1.0,1.22
h_0,1.43,2.38,1.62,1.56,1.6,1.26,1.05,1.54,1.04,1.07,0.94,0.79,1.24,1.0,1.08,0.8
g_0,1.77,1.51,2.3,1.61,1.87,1.52,0.98,1.42,1.2,1.09,1.0,1.49,1.0,0.95,1.0,0.94
e_0,1.01,2.5,1.95,1.8,1.99,1.26,1.13,1.25,1.16,1.32,1.2,0.73,0.82,1.16,1.0,1.0
