,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.96,0.69,0.67,0.51,0.53,0.39,0.41,0.32,0.58,0.36,0.43,0.33,0.37,0.32,0.26,0.24
e_1,0.59,0.96,0.57,0.71,0.53,0.41,0.48,0.37,0.39,0.58,0.39,0.37,0.36,0.34,0.29,0.25
f_1,0.6,0.89,0.95,0.62,0.54,0.37,0.38,0.34,0.34,0.39,0.32,0.28,0.32,0.29,0.26,0.2
c_1,0.68,0.58,0.67,0.96,0.85,0.44,0.41,0.39,0.28,0.32,0.26,0.3,0.38,0.31,0.23,0.28
b_1,0.72,0.65,0.7,0.55,0.95,0.76,0.41,0.37,0.39,0.41,0.31,0.35,0.38,0.33,0.19,0.29
a_1,0.8,0.76,0.78,0.7,0.54,0.94,0.52,0.45,0.51,0.5,0.53,0.42,0.47,0.32,0.29,0.29
h_1,1.03,0.86,1.12,0.82,0.82,0.58,0.81,0.67,0.59,0.52,0.57,0.52,0.48,0.54,0.42,0.4
g_1,1.37,0.98,1.01,0.8,0.82,0.57,0.58,0.8,0.62,0.49,0.58,0.6,0.51,0.43,0.43,0.42
c_0,1.0,1.07,1.17,0.89,0.72,0.55,0.72,0.57,0.76,0.65,0.88,0.54,0.63,0.52,0.54,0.45
d_0,0.88,0.87,1.08,1.43,0.85,0.59,0.66,0.61,0.43,0.73,0.51,0.5,0.58,0.52,0.43,0.46
b_0,1.04,1.01,1.14,1.22,0.79,0.42,0.68,0.59,0.54,0.67,0.75,0.49,0.66,0.53,0.76,0.44
f_0,1.23,0.97,1.03,1.11,0.83,0.67,0.69,0.64,0.68,0.71,0.66,0.72,0.68,0.52,0.46,0.69
h_0,1.18,1.15,1.41,1.04,0.86,0.67,0.62,0.75,0.64,0.65,0.61,0.5,0.55,0.68,0.39,0.46
g_0,1.48,1.07,1.19,1.07,0.95,0.83,0.73,0.61,0.73,0.66,0.7,0.82,0.57,0.55,0.47,0.52
a_0,1.23,1.13,1.22,1.29,1.18,0.59,0.8,0.63,0.63,0.65,0.53,0.62,0.77,0.63,0.68,0.47
e_0,1.26,1.01,1.37,1.12,1.03,0.77,0.8,0.68,0.66,0.63,0.72,0.52,0.76,0.57,0.52,0.67
