,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.44,1.15,2.08,2.26,2.13,2.33,0.72,0.44,0.65,0.42,0.46,0.44,0.35,0.38,0.3,0.98
f_1,1.82,0.43,2.21,1.66,2.31,2.02,0.44,0.47,0.62,0.42,0.63,0.36,0.2,0.37,0.36,0.39
c_1,1.59,2.25,0.41,2.75,2.27,1.98,0.56,0.23,0.54,0.87,0.39,0.45,0.37,0.44,0.38,0.37
d_1,2.68,2.27,2.13,0.41,2.19,1.63,0.51,1.22,0.39,0.39,0.39,0.49,0.3,0.44,0.19,0.37
b_1,2.51,2.45,1.25,2.45,0.39,2.06,0.72,0.53,0.76,0.52,0.53,1.07,0.33,0.55,0.29,0.4
a_1,3.06,2.64,2.81,3.05,1.16,0.34,0.86,0.73,0.71,0.73,0.65,1.05,0.44,1.34,0.55,0.9
h_1,3.4,3.75,3.62,2.82,3.13,3.46,0.34,0.7,0.89,0.57,0.53,0.58,0.67,0.57,0.48,0.52
d_0,1.76,4.26,3.71,6.79,4.35,3.58,1.11,0.41,1.14,0.82,0.68,0.61,0.6,0.7,0.56,0.68
g_1,3.69,4.62,4.0,3.31,3.63,3.33,0.77,0.89,0.31,0.74,0.7,0.77,0.4,0.97,0.9,0.71
c_0,3.81,3.72,10.55,1.92,4.22,4.17,1.15,1.33,1.17,0.38,0.74,0.74,0.51,0.95,0.51,0.67
f_0,3.86,9.69,3.95,3.78,3.68,3.68,1.09,0.9,0.71,0.73,0.38,0.78,0.62,0.75,0.36,0.88
b_0,4.32,4.51,5.34,3.2,7.9,3.8,1.17,0.94,1.39,0.41,0.75,0.33,0.55,0.7,0.53,0.73
h_0,4.47,5.04,3.91,3.86,4.29,4.57,2.52,1.03,1.24,0.96,0.87,0.93,1.11,0.95,0.68,0.73
a_0,4.36,5.52,4.93,5.46,5.69,9.35,1.34,0.88,1.26,0.96,0.89,0.47,0.67,0.31,0.69,0.74
g_0,5.2,5.69,4.59,4.01,5.59,5.38,1.2,1.17,2.71,0.92,0.93,1.02,0.52,1.01,0.88,0.85
e_0,8.08,7.15,5.11,4.78,5.41,4.08,1.36,1.0,1.83,1.07,0.48,0.99,0.71,0.88,0.61,0.33
