,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.89,0.18,0.21,0.14,0.13,0.08,0.2,0.14,0.34,0.06,0.21,0.17,0.16,0.14,0.12,0.17
e_1,0.15,0.89,0.2,0.19,0.15,0.11,0.16,0.13,0.17,0.31,0.16,0.16,0.18,0.14,0.04,0.14
f_1,0.18,0.34,0.89,0.17,0.13,0.08,0.13,0.11,0.16,0.14,0.16,0.06,0.17,0.09,0.08,0.09
c_1,0.21,0.18,0.18,0.89,0.26,0.1,0.18,0.12,0.05,0.15,0.1,0.14,0.15,0.08,0.07,0.15
b_1,0.21,0.16,0.19,0.15,0.88,0.21,0.19,0.13,0.15,0.13,0.07,0.14,0.12,0.07,0.13,0.14
a_1,0.22,0.2,0.21,0.16,0.1,0.87,0.17,0.16,0.16,0.19,0.15,0.18,0.21,0.06,0.13,0.16
h_1,0.23,0.18,0.31,0.21,0.18,0.13,0.57,0.22,0.2,0.2,0.18,0.17,0.11,0.11,0.15,0.24
g_1,0.4,0.18,0.12,0.23,0.17,0.12,0.18,0.56,0.21,0.14,0.17,0.27,0.19,0.14,0.17,0.11
c_0,0.29,0.25,0.23,0.11,0.15,0.13,0.18,0.19,0.42,0.21,0.37,0.19,0.24,0.18,0.14,0.18
d_0,0.09,0.25,0.24,0.4,0.15,0.11,0.21,0.19,0.16,0.41,0.15,0.18,0.2,0.13,0.15,0.18
b_0,0.29,0.25,0.26,0.16,0.07,0.1,0.23,0.17,0.24,0.2,0.43,0.16,0.23,0.32,0.12,0.21
f_0,0.29,0.17,0.12,0.21,0.17,0.17,0.25,0.22,0.25,0.2,0.19,0.43,0.25,0.13,0.32,0.17
h_0,0.3,0.22,0.35,0.22,0.18,0.1,0.11,0.22,0.23,0.19,0.14,0.14,0.09,0.16,0.09,0.22
a_0,0.27,0.24,0.24,0.22,0.15,0.06,0.25,0.19,0.25,0.22,0.2,0.2,0.25,0.38,0.13,0.17
e_0,0.28,0.12,0.25,0.24,0.17,0.13,0.27,0.17,0.22,0.2,0.19,0.18,0.26,0.15,0.41,0.19
g_0,0.42,0.19,0.23,0.19,0.15,0.11,0.2,0.12,0.23,0.17,0.17,0.28,0.2,0.16,0.13,0.13
