,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.59,1.67,1.21,1.93,1.25,1.66,5.16,14.17,5.76,6.97,9.07,7.64,8.31,13.11,11.27,5.11
f_1,2.6,5.66,1.38,1.47,1.39,1.26,5.9,6.16,5.27,7.66,6.16,2.68,6.72,10.1,8.67,4.62
d_1,1.54,1.72,6.41,1.06,1.46,1.45,5.8,3.48,5.16,13.58,8.26,7.79,8.05,11.52,12.33,9.3
c_1,1.35,1.53,1.55,6.79,2.9,1.35,5.22,6.28,5.79,2.88,5.87,6.4,6.07,8.83,7.63,7.88
b_1,1.32,1.36,1.71,1.42,8.71,3.22,5.49,5.59,5.38,5.47,2.77,8.01,5.97,11.15,9.23,9.46
a_1,1.48,1.58,1.68,1.61,1.25,11.1,5.82,7.02,5.23,8.4,7.59,8.05,2.89,12.5,15.74,8.02
h_1,1.8,2.56,2.07,1.76,1.86,1.62,15.39,7.33,8.0,8.22,7.99,8.26,8.12,8.57,15.16,9.94
d_0,1.54,1.96,1.13,3.63,1.99,1.77,6.37,15.36,6.83,5.89,9.05,8.64,9.03,12.8,13.0,9.45
g_1,1.57,1.28,3.03,1.91,1.63,1.63,6.43,6.88,21.24,9.56,9.54,15.03,9.56,10.19,9.19,11.24
c_0,2.18,1.87,1.83,1.43,1.45,1.99,6.55,10.4,6.23,17.17,16.4,9.92,9.16,15.56,17.9,9.32
b_0,1.8,2.28,2.0,2.25,0.9,1.19,7.03,9.43,6.98,8.38,18.86,9.54,19.64,11.72,14.61,10.03
f_0,1.53,1.11,2.27,2.22,1.94,1.9,7.39,8.96,7.28,8.84,9.7,20.33,10.82,14.75,15.59,22.55
a_0,1.69,2.04,2.43,2.55,1.99,0.8,7.12,9.52,6.66,7.76,8.95,8.88,23.78,14.05,12.57,11.04
h_0,1.77,2.64,2.0,1.86,1.45,1.96,4.77,9.37,9.36,7.44,8.63,8.23,10.01,8.01,18.23,8.26
g_0,1.68,1.68,3.08,2.0,1.66,1.42,7.26,7.95,3.9,7.78,10.32,13.73,10.9,13.95,9.49,9.71
e_0,0.96,2.36,2.13,2.09,2.23,1.77,7.12,8.38,7.5,9.21,9.42,9.09,9.31,15.19,13.66,25.28
