,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,12632.36,1215.17,2825.8,1823.67,2036.9,14835.32,1312431.98,2511809.78,4928171.16,5869564.75,1567614.59,11841979.95,40424976.52,67056094.12,63404464.42,37237225.15
d_1,1587.2,13466.24,1309.18,1395.14,2532.26,9570.11,1269394.56,3590400.07,1650246.21,13919386.79,10330425.96,15655202.89,54714183.53,75753096.63,64963725.48,66637825.39
e_1,1297.35,1049.53,14191.47,1740.89,2869.38,16435.71,1448124.97,2833764.59,8701725.92,8163721.21,9407778.01,13273739.75,52839657.67,80485197.1,47990646.63,17206037.31
c_1,1346.12,1405.49,1216.69,19104.19,5439.73,8864.56,1337117.04,2653200.8,5100876.82,1269690.95,8084053.94,10262964.02,43941812.78,71872681.32,63783511.33,83421569.4
b_1,1379.09,1312.91,1204.82,1943.87,31864.57,26025.82,1406140.47,2718408.72,4583954.78,7739923.56,8916019.94,2891931.56,41179602.96,75150857.36,43175711.73,79329663.34
a_1,1246.68,1546.66,1209.37,1834.9,2363.68,267424.3,1366037.42,3348783.75,5244211.34,8236921.45,11224085.52,12390976.85,41201898.81,63249359.48,,61115303.37
h_1,2837.23,2013.88,1928.35,3948.94,3792.44,20022.3,9081213.33,7135070.67,8437626.39,12516074.75,15024354.11,25061159.85,27766650.54,186377191.84,111987105.99,162819973.37
g_1,1810.96,3425.05,2320.61,3885.39,3434.18,28371.81,1732254.57,26467474.68,7499081.27,15220053.32,22913008.47,20987863.64,70534260.46,33467652.41,90555042.35,141546604.31
d_0,2251.37,1067.37,2412.2,5738.48,4715.73,27930.52,2572583.91,6167729.81,24207116.93,11438248.89,10758714.27,21466411.58,58194969.72,112124737.06,122560012.8,114521798.02
c_0,2284.5,2501.73,2599.67,1350.24,3967.37,32776.78,2773094.57,7288164.5,9198155.86,38441483.33,22596728.91,42824834.09,90215892.88,134402729.07,134836474.86,152800138.5
f_0,703.88,2908.8,2236.38,3357.1,5359.7,28374.91,2719609.44,7268573.84,8162014.72,14957036.97,49943784.87,25675776.34,78084175.48,132802581.83,128803441.27,297048222.46
b_0,2387.17,3052.48,1955.05,4404.79,1583.61,24842.03,2192977.42,4441493.93,10255422.1,11473068.52,18207479.98,66069653.06,82071745.09,124614557.26,233400458.18,154223789.31
h_0,3363.29,2560.56,2104.12,2629.3,5001.24,23875.98,807762.91,7810949.23,6799481.44,12663669.97,19153925.4,19128732.86,26038422.52,153461063.85,111665567.95,109826680.15
g_0,1815.03,3853.55,2217.86,3223.22,3724.69,24673.21,2295519.26,2690586.14,8416206.52,14671993.79,23846429.27,26800977.92,60755094.51,44350087.07,104533482.31,146367885.83
a_0,2104.01,3006.7,2642.72,3622.75,4313.35,,2934266.84,4792417.61,8818104.02,7831336.09,18467294.58,19603577.29,89771734.65,161088818.12,481128775.57,99231235.22
e_0,2081.56,3226.18,890.74,3158.86,4543.68,29258.43,2672621.33,7976499.22,8702637.52,14324756.07,16393046.71,28892383.71,95725067.77,152994982.44,156962073.41,570827289.52
