,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.78,1.14,1.72,2.03,2.68,20.93,30.34,47.06,29.61,48.01,49.74,78.75,117.24,128.68,125.37
f_1,1.28,1.0,1.06,1.22,1.74,3.02,15.23,30.79,29.32,31.29,34.05,44.06,65.28,76.66,108.71,95.54
d_1,0.89,0.93,1.0,1.1,1.61,2.42,16.41,20.15,27.14,33.17,34.7,36.17,59.4,72.28,69.25,73.84
c_1,0.58,0.82,0.91,1.0,1.99,2.33,14.17,23.82,16.08,18.26,26.07,26.79,51.56,56.77,76.6,78.05
b_1,0.49,0.58,0.62,0.5,1.0,2.19,11.51,19.75,15.9,17.7,22.63,19.5,38.41,52.73,54.16,61.48
a_1,0.37,0.33,0.42,0.43,0.45,1.0,7.01,9.41,9.15,10.44,13.78,14.5,22.25,28.7,35.8,33.89
h_1,0.05,0.07,0.06,0.07,0.08,0.13,1.0,1.88,1.78,1.62,2.03,2.22,3.63,4.94,5.74,5.09
g_1,0.03,0.03,0.05,0.05,0.05,0.1,0.54,1.0,1.03,1.0,1.76,1.43,1.82,2.74,3.33,3.88
d_0,0.02,0.03,0.04,0.06,0.06,0.1,0.55,0.97,1.0,0.84,1.29,1.31,2.22,2.97,3.69,3.55
c_0,0.03,0.03,0.03,0.05,0.06,0.1,0.6,0.98,1.2,1.0,1.44,1.81,2.3,3.01,3.38,4.62
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.51,0.55,0.79,0.7,1.0,1.08,1.68,3.19,2.12,2.5
b_0,0.02,0.02,0.03,0.04,0.05,0.06,0.45,0.69,0.79,0.56,0.96,1.0,1.78,2.58,2.74,4.0
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.28,0.54,0.46,0.44,0.56,0.58,1.0,1.12,1.7,1.49
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.37,0.32,0.31,0.33,0.4,0.89,1.0,0.91,1.12
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.29,0.28,0.29,0.49,0.36,0.58,1.05,1.0,0.98
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.25,0.31,0.22,0.41,0.26,0.67,0.87,1.03,1.0
