,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,102.6,28.92,35.87,58.84,79.55,178.81,5217.14,15526.14,8752.44,12650.32,21029.01,28009.48,65131.88,70796.14,65034.65,98806.75
d_1,32.83,116.51,42.15,40.91,70.13,208.7,4405.28,5260.73,7531.81,17712.56,18213.26,27059.02,54782.25,59844.65,84784.32,101245.11
f_1,44.25,35.12,122.65,47.04,68.51,198.26,3829.31,9110.89,7458.9,10182.67,21905.74,8658.85,61955.34,67581.92,62973.28,87384.25
c_1,25.22,35.53,35.15,145.47,117.61,183.42,4183.39,7730.25,6728.37,3248.02,14996.77,18126.68,48335.87,52053.67,67853.94,110942.64
b_1,22.33,31.11,33.97,27.79,206.28,315.21,3575.96,7484.87,7571.99,8913.12,7900.1,17864.26,54058.01,34069.81,64306.45,69013.52
a_1,21.75,20.88,22.56,31.33,29.59,519.45,2208.31,3932.36,4669.49,6621.63,10989.22,10340.78,34334.07,14832.02,40367.13,50793.42
h_1,9.11,13.16,16.39,15.22,22.95,72.71,2886.41,2600.87,3152.04,3253.69,6782.01,6181.81,9784.45,19417.32,25338.2,30879.12
d_0,7.7,5.54,11.06,21.77,15.59,67.83,1433.25,4000.01,2355.3,2600.22,5880.61,5114.75,18231.77,16372.95,16635.47,24877.27
g_1,7.05,13.8,9.18,14.12,17.15,57.67,1043.51,2102.39,4843.01,2791.26,5031.41,7838.43,11094.12,14651.21,16926.3,13886.23
c_0,7.37,9.02,12.69,7.55,17.26,48.45,1266.88,2514.67,2113.81,4848.83,8619.63,6176.77,19520.48,16349.6,18425.51,24516.72
b_0,7.48,9.17,8.31,12.59,9.14,33.73,1032.94,1961.87,1700.37,2062.78,7371.56,4352.01,15726.71,20668.66,13842.56,17544.69
f_0,5.93,7.67,4.63,10.43,14.27,48.29,1005.97,1925.04,1829.86,2677.94,4619.9,8390.22,11924.33,14960.35,29607.39,17992.07
h_0,4.5,6.58,6.91,9.12,8.31,35.32,426.21,1419.24,1693.94,1241.57,2472.69,3128.8,6521.21,9500.65,11229.23,18984.63
a_0,4.48,6.06,5.96,7.48,11.44,,654.12,1409.12,1643.38,1599.29,2687.41,3257.38,11365.28,17621.7,12318.6,12131.59
e_0,2.16,5.42,6.15,6.58,8.49,30.13,748.76,1783.84,1472.12,1699.52,3499.58,2438.42,10776.16,9777.3,22232.08,17060.72
g_0,3.26,6.28,5.7,5.44,9.69,30.1,622.34,1209.51,818.67,1665.19,2937.34,3682.97,8744.72,7240.07,10040.1,8130.99
