,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.26,0.21,0.29,0.28,0.16,0.19,0.31,0.19,0.16,0.18,0.19,0.19,0.14,0.06,0.14
f_1,0.47,0.94,0.24,0.29,0.18,0.17,0.21,0.17,0.2,0.14,0.19,0.08,0.13,0.12,0.11,0.17
d_1,0.36,0.33,0.94,0.19,0.27,0.21,0.2,0.07,0.29,0.15,0.16,0.18,0.16,0.13,0.1,0.12
c_1,0.33,0.25,0.34,0.94,0.42,0.19,0.17,0.16,0.06,0.15,0.18,0.17,0.17,0.1,0.13,0.13
b_1,0.25,0.39,0.27,0.26,0.93,0.35,0.21,0.24,0.2,0.22,0.13,0.17,0.16,0.14,0.13,0.13
a_1,0.4,0.41,0.3,0.32,0.18,0.93,0.3,0.26,0.17,0.13,0.19,0.16,0.18,0.09,0.17,0.18
h_1,0.53,0.73,0.62,0.49,0.43,0.27,0.72,0.3,0.34,0.37,0.34,0.28,0.17,0.21,0.18,0.31
d_0,0.52,0.67,0.34,0.95,0.44,0.34,0.34,0.6,0.31,0.3,0.32,0.34,0.31,0.2,0.21,0.26
c_0,0.62,0.7,0.57,0.38,0.4,0.48,0.4,0.31,0.62,0.33,0.56,0.35,0.32,0.24,0.24,0.31
g_1,0.54,0.53,0.91,0.51,0.36,0.45,0.34,0.34,0.33,0.73,0.31,0.43,0.27,0.19,0.3,0.14
b_0,0.67,0.63,0.67,0.52,0.18,0.44,0.42,0.43,0.35,0.35,0.62,0.35,0.33,0.39,0.27,0.31
f_0,0.56,0.42,0.65,0.67,0.46,0.47,0.42,0.4,0.44,0.39,0.42,0.61,0.36,0.25,0.41,0.29
h_0,0.58,0.89,0.6,0.59,0.52,0.46,0.31,0.48,0.44,0.49,0.38,0.43,0.23,0.24,0.29,0.37
a_0,0.66,0.85,0.68,0.75,0.41,,0.59,0.43,0.44,0.49,0.31,0.49,0.4,0.59,0.28,0.37
e_0,,0.81,0.8,0.59,0.58,0.47,0.45,0.47,0.45,0.42,0.52,0.4,0.45,0.32,0.6,0.33
g_0,0.69,0.54,0.99,0.66,0.62,0.34,0.4,0.42,0.44,0.27,0.43,0.61,0.33,0.29,0.27,0.25
