,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.89,1.06,1.4,1.83,3.87,18.46,26.77,40.51,31.4,38.87,52.99,71.76,76.42,127.6,147.05
f_1,1.1,1.0,1.11,1.23,1.67,3.74,16.04,25.01,29.82,26.64,34.35,38.11,66.42,58.98,124.07,96.59
d_1,0.93,0.92,1.0,1.03,1.48,3.39,15.62,17.05,23.64,32.13,33.3,34.23,53.74,59.92,84.04,94.59
c_1,0.72,0.83,0.98,1.0,1.89,2.9,13.48,18.75,18.24,22.03,24.67,30.83,55.22,55.63,92.69,94.47
b_1,0.54,0.59,0.68,0.54,1.0,3.14,9.09,13.04,14.87,19.02,20.58,23.22,36.5,41.45,63.86,65.03
a_1,0.26,0.27,0.29,0.34,0.32,1.0,5.28,6.14,7.62,7.36,10.69,10.35,18.56,19.62,31.16,32.1
h_1,0.06,0.06,0.07,0.07,0.11,0.18,1.0,1.53,1.62,1.72,2.09,2.27,3.87,3.97,7.43,6.79
g_1,0.04,0.04,0.06,0.05,0.07,0.16,0.66,1.0,1.05,1.28,1.44,2.01,2.74,2.75,4.83,5.59
d_0,0.03,0.03,0.04,0.05,0.06,0.13,0.63,0.95,1.0,0.86,1.2,1.54,2.3,2.5,4.19,4.6
c_0,0.03,0.04,0.03,0.05,0.06,0.14,0.57,0.81,1.11,1.0,1.57,1.47,2.46,2.57,3.68,3.9
b_0,0.03,0.03,0.03,0.04,0.05,0.1,0.47,0.69,0.81,0.64,1.0,1.19,2.55,2.01,3.33,3.55
f_0,0.02,0.03,0.03,0.03,0.04,0.1,0.44,0.5,0.66,0.69,0.83,1.0,1.63,1.82,2.26,4.04
a_0,0.01,0.02,0.02,0.02,0.03,0.05,0.26,0.36,0.42,0.4,0.43,0.63,1.0,0.99,1.82,1.84
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.24,0.36,0.4,0.38,0.48,0.53,1.0,1.0,1.86,1.63
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.21,0.24,0.27,0.3,0.42,0.54,0.55,1.0,1.0
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.18,0.22,0.26,0.29,0.26,0.54,0.55,0.99,1.0
