,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.05,0.95,0.82,0.91,0.8,0.77,0.89,0.56,0.75,0.76,0.6,0.6,0.57,0.49,0.67
f_1,0.96,1.0,1.31,0.96,0.83,0.75,0.63,0.59,0.65,0.68,0.58,0.48,0.5,0.53,0.58,0.45
e_1,1.05,0.76,1.0,1.09,1.03,0.88,0.69,0.66,0.69,0.89,0.68,0.75,0.64,0.6,0.63,0.56
c_1,1.22,1.04,0.91,1.0,1.51,0.79,0.57,0.55,0.64,0.49,0.47,0.56,0.61,0.54,0.57,0.62
b_1,1.11,1.21,0.97,0.67,1.0,1.45,0.89,0.74,0.76,0.61,0.76,0.71,0.67,0.62,0.67,0.62
a_1,1.25,1.32,1.14,1.28,0.69,1.0,0.93,0.8,0.88,0.77,0.84,0.84,0.85,0.66,0.82,0.56
h_1,1.29,1.59,1.44,1.71,1.1,1.09,1.0,0.89,1.14,0.89,0.83,0.92,0.85,0.75,0.91,0.76
c_0,1.16,1.67,1.54,1.64,1.22,1.29,1.1,1.0,1.16,1.16,1.42,0.91,0.98,1.08,0.92,0.86
g_1,1.79,1.57,1.38,1.5,1.32,1.08,0.87,0.88,1.0,0.84,0.88,1.05,0.81,0.84,0.84,0.78
d_0,1.43,1.5,1.12,2.02,1.64,1.2,1.12,0.86,1.17,1.0,1.06,0.87,0.93,0.87,0.86,0.78
b_0,1.36,1.69,1.44,2.03,1.42,1.2,1.22,0.72,1.14,0.97,1.0,1.14,1.0,1.35,0.92,0.95
f_0,1.66,1.98,1.27,1.77,1.43,1.23,1.1,1.08,1.0,1.07,0.93,1.0,0.98,1.13,0.74,1.38
h_0,1.67,1.99,1.55,1.67,1.51,1.23,1.17,1.03,1.24,1.06,1.03,1.02,1.0,0.91,1.13,0.86
a_0,1.76,1.9,1.67,2.02,1.6,1.46,1.35,0.94,1.21,1.28,0.74,1.0,1.11,1.0,1.01,1.01
g_0,2.12,1.72,1.57,1.8,1.48,1.23,1.11,1.12,1.17,1.09,1.01,1.36,0.88,0.98,1.0,1.09
e_0,1.64,2.24,1.71,1.56,1.59,1.69,1.35,1.25,1.26,1.33,1.04,0.74,1.09,0.96,0.85,1.0
