,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.57,0.08,0.07,0.09,0.07,0.09,0.36,0.26,0.54,0.46,0.38,0.28,0.4,0.54,,0.35
f_1,0.14,5.79,0.06,0.08,0.09,0.07,0.3,0.21,0.42,0.29,0.39,,0.4,0.6,0.25,0.53
d_1,0.06,0.08,6.3,0.07,0.08,0.05,0.31,0.3,,0.75,0.41,0.38,0.28,0.57,0.42,0.74
c_1,0.08,0.06,0.09,6.57,0.17,0.06,0.34,0.33,0.44,,0.24,0.3,0.44,0.46,0.39,0.55
b_1,0.09,0.08,0.08,0.07,7.44,0.15,0.32,0.38,0.38,0.2,,0.36,0.31,0.7,0.26,0.65
a_1,0.07,0.06,0.06,0.08,0.1,11.0,0.23,0.34,0.32,0.46,0.4,0.37,,0.82,0.38,0.44
h_1,0.24,0.49,0.29,0.26,0.27,0.2,14.42,1.53,1.62,1.26,1.42,1.37,1.36,,1.49,2.38
g_1,0.26,0.19,0.5,0.27,0.26,0.23,1.41,16.71,1.39,1.3,1.04,2.49,1.2,1.86,1.55,
d_0,0.44,0.32,,0.65,0.34,0.41,1.41,1.24,11.96,2.11,1.92,1.77,1.59,3.46,1.74,3.39
c_0,0.32,0.41,0.39,,0.29,0.3,1.31,1.36,1.66,12.62,3.56,2.09,2.09,2.95,2.35,3.68
b_0,0.39,0.36,0.36,0.29,,0.31,1.32,1.48,2.27,2.09,14.0,2.28,3.17,2.73,2.04,1.62
f_0,0.29,,0.48,0.36,0.27,0.58,1.19,0.97,2.65,2.09,1.71,16.56,2.22,2.99,3.93,2.37
a_0,0.27,0.43,0.29,0.39,0.48,,1.36,1.65,1.19,2.26,2.11,2.22,17.06,3.6,2.05,3.24
h_0,0.61,0.85,0.66,0.75,0.5,0.62,,1.78,2.55,2.6,2.64,1.96,3.23,,2.57,6.17
e_0,,0.36,0.36,0.39,0.35,0.52,1.96,1.82,2.13,1.43,1.82,2.57,,3.33,20.85,2.91
g_0,0.53,0.61,0.78,0.53,0.41,,2.01,,2.71,2.85,2.25,4.57,2.9,4.76,3.74,
