,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,92.85,49.74,55.1,91.32,125.53,375.13,6872.62,33219.98,17953.91,21376.49,40991.12,57250.05,69047.09,106803.93,79269.99,199043.9
f_1,62.73,106.42,63.42,66.72,96.1,281.86,5676.76,15903.65,16325.32,21830.05,30212.39,25470.39,74693.37,94451.64,87288.13,157776.88
d_1,42.73,45.93,128.72,56.33,90.77,324.09,7107.59,10969.13,14526.79,32803.13,35250.27,41515.75,71293.63,100366.42,124983.75,157305.89
c_1,33.14,44.62,56.3,143.23,152.31,333.88,6317.37,13535.44,12394.33,9566.39,23908.43,37544.27,58285.02,95989.77,96119.32,175742.23
b_1,26.82,40.83,56.28,48.58,205.14,451.58,5119.25,14595.68,13514.26,15956.13,11613.6,36735.11,46876.52,79139.18,99397.35,107446.23
a_1,23.2,29.55,28.18,42.62,49.07,549.13,4012.1,8099.28,9199.82,11581.66,20313.19,25036.95,21603.11,50325.85,53144.1,82586.53
h_1,11.7,17.77,16.73,17.46,28.08,82.15,3029.65,4479.99,4560.6,4886.88,7866.92,10791.26,19376.43,19612.83,27337.54,56562.04
d_0,6.7,9.97,8.64,24.1,22.04,75.78,1339.01,5353.45,3607.85,3419.4,7209.44,8840.89,14368.79,21952.43,19717.38,33741.42
g_1,7.26,7.79,17.3,15.21,19.84,59.1,1426.78,3264.43,6182.19,4906.35,6179.16,12890.17,15888.73,19287.6,23884.36,30642.18
c_0,7.96,10.3,11.49,11.79,15.4,56.34,1543.57,3871.13,3377.53,6161.57,11017.03,9282.44,15719.18,19823.72,21423.4,39673.53
b_0,6.27,9.95,9.51,13.18,12.8,49.72,1339.99,2953.84,3145.28,2916.14,8395.87,7929.31,21678.69,17939.77,18689.5,30311.49
f_0,4.51,5.71,11.13,12.77,15.72,55.0,1164.61,2919.01,2363.7,3486.53,5451.09,10788.44,13122.34,16425.14,32520.16,27904.23
a_0,6.14,5.91,7.62,10.56,15.22,33.9,1024.62,2350.51,2042.82,2477.27,3194.86,5682.17,16113.56,13629.94,14608.57,19504.6
h_0,5.25,7.99,7.9,8.42,12.64,37.91,602.94,2140.76,2496.08,2608.43,3711.57,5444.39,8694.74,9459.82,12280.63,29106.03
e_0,2.83,6.46,7.57,8.57,12.19,51.0,822.61,2021.31,1995.05,2895.23,4545.8,4381.48,8349.42,12877.66,21514.64,20653.33
g_0,3.92,4.6,8.72,6.75,12.84,30.09,675.82,1628.44,1174.88,1880.18,3493.49,6196.55,7527.77,9454.1,11884.72,13477.36
