,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.3,1.01,0.86,0.87,0.71,0.44,0.43,0.38,0.34,,0.46,0.32,0.26,0.25,0.33
e_1,0.77,1.0,1.01,1.0,0.85,0.76,0.52,0.48,0.42,0.55,0.4,0.4,0.31,,0.33,0.28
d_1,0.99,0.99,1.0,0.99,1.01,0.69,0.46,0.32,0.71,,0.37,0.4,0.29,0.43,0.24,0.23
c_1,1.17,1.0,1.01,1.0,1.42,0.87,0.55,0.54,,0.32,0.39,0.5,0.36,0.43,0.33,0.32
b_1,1.15,1.18,0.99,0.7,1.0,1.09,0.54,0.56,0.4,0.54,0.52,,0.38,0.41,0.35,0.33
a_1,1.41,1.32,1.44,1.15,0.91,1.0,0.77,0.52,0.77,0.74,0.57,,0.51,,,0.41
h_1,2.27,1.91,2.15,1.83,1.84,1.31,1.0,0.91,0.78,0.87,1.11,0.62,,0.49,0.84,0.71
g_1,2.33,2.07,3.16,1.84,1.78,1.91,1.1,1.0,0.78,0.75,1.45,0.96,0.57,0.73,0.61,
c_0,2.64,2.36,1.4,,2.5,1.29,1.28,1.28,1.0,1.08,0.86,1.43,0.76,0.67,0.72,0.75
d_0,2.91,1.81,,3.08,1.84,1.36,1.15,1.34,0.93,1.0,0.86,0.79,0.85,1.22,0.93,0.96
f_0,,2.51,2.69,2.56,1.92,1.75,0.9,0.69,1.17,1.16,1.0,1.05,0.97,,0.78,0.61
b_0,2.16,2.47,2.5,1.98,,,1.62,1.05,0.7,1.27,0.95,1.0,0.98,0.93,1.21,0.66
h_0,3.09,3.2,3.45,2.74,2.6,1.98,,1.77,1.31,1.18,1.03,1.02,,,0.87,1.03
e_0,3.89,,2.34,2.34,2.43,,2.04,1.38,1.48,0.82,,1.07,,1.0,1.14,1.07
a_0,4.05,2.99,4.17,3.06,2.84,,1.19,1.64,1.39,1.08,1.28,0.83,1.14,0.88,1.0,0.92
g_0,3.0,3.56,4.43,3.16,2.99,2.42,1.41,,1.33,1.04,1.63,1.51,0.97,0.93,1.08,
