,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.9,0.91,0.8,0.85,0.81,0.21,0.28,0.21,0.16,0.17,0.23,0.1,0.17,0.16,0.14
e_1,0.62,0.42,1.09,0.93,0.92,0.83,0.28,0.33,0.21,0.19,0.19,0.25,0.14,0.17,0.26,0.15
c_1,0.97,0.75,0.41,1.2,0.91,0.89,0.28,0.25,0.12,0.24,0.19,0.17,0.14,0.2,0.19,0.13
d_1,0.97,1.1,0.91,0.4,0.98,0.76,0.24,0.17,0.25,0.19,0.2,0.21,0.14,0.19,0.2,0.09
b_1,1.11,1.01,0.67,1.05,0.38,1.02,0.29,0.32,0.2,0.31,0.33,0.24,0.16,0.22,0.2,0.14
a_1,1.65,1.33,1.2,1.31,0.69,0.32,0.44,0.37,0.27,0.22,0.34,0.23,0.2,0.29,0.22,0.17
h_1,1.87,1.72,1.71,1.53,1.49,1.33,0.29,0.47,0.38,0.33,0.36,0.31,0.36,0.33,0.32,0.25
g_1,1.96,2.05,1.88,1.99,1.88,1.91,0.46,0.27,0.41,0.38,0.4,0.39,0.23,0.45,0.33,0.28
d_0,1.91,1.29,2.25,2.62,1.99,1.88,0.6,0.68,0.31,0.43,0.42,0.38,0.36,0.48,0.4,0.36
c_0,2.01,2.31,2.83,1.2,2.02,1.88,0.6,0.53,0.63,0.3,0.41,0.44,0.31,0.43,0.48,0.28
b_0,2.02,1.99,2.99,1.56,2.5,1.81,0.62,0.57,0.48,0.25,0.28,0.43,0.32,0.38,0.42,0.3
f_0,2.43,2.09,2.35,2.05,2.13,2.08,0.62,0.4,0.45,0.44,0.47,0.27,0.3,0.47,0.37,0.22
h_0,2.41,2.44,2.38,2.21,2.51,2.1,0.83,0.62,0.44,0.45,0.41,0.46,0.4,0.41,0.4,0.3
a_0,2.86,2.55,2.68,1.97,2.55,2.48,0.75,0.65,0.57,0.42,0.31,0.6,0.34,0.27,0.52,0.33
e_0,3.47,3.28,2.42,2.4,2.27,2.31,0.72,0.52,0.55,0.5,0.56,0.27,0.45,0.64,0.27,0.3
g_0,2.66,2.58,2.57,2.54,2.62,2.72,0.57,0.81,0.48,0.54,0.53,0.51,0.28,0.53,0.45,0.43
