,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.4,1.1,1.25,1.37,0.98,0.46,0.69,0.46,0.49,0.43,0.73,0.31,0.48,0.4,0.4
e_1,0.84,0.65,1.4,1.54,1.26,1.28,0.71,0.6,0.5,0.58,0.53,0.59,0.43,0.47,0.43,0.77
d_1,1.44,1.37,0.65,1.21,1.23,1.18,0.52,0.44,0.56,0.74,0.5,0.47,0.37,0.4,0.29,0.42
c_1,1.54,1.1,1.58,0.63,1.54,1.17,0.6,0.55,0.64,0.29,0.43,0.46,0.39,0.44,0.4,0.38
b_1,1.48,1.44,1.5,0.9,0.63,1.61,0.76,0.67,0.62,0.5,0.74,0.47,0.44,0.45,0.43,0.49
a_1,2.06,1.54,1.57,1.91,0.98,0.57,0.77,0.8,0.48,0.66,0.65,0.49,0.54,0.85,0.42,0.58
h_1,2.33,1.86,2.01,2.12,1.72,1.81,0.57,0.97,0.74,0.72,0.77,0.59,0.7,0.67,0.58,0.65
g_1,2.24,2.28,2.23,2.39,2.12,1.83,0.75,0.55,0.75,0.64,0.69,0.86,0.5,0.69,0.67,0.63
c_0,2.48,2.19,1.39,3.16,2.11,2.18,0.96,0.96,0.61,0.98,0.94,0.78,0.66,0.83,0.59,0.75
d_0,2.17,1.4,2.66,2.88,2.39,1.91,1.05,1.22,0.77,0.62,0.83,0.75,0.68,0.89,0.71,0.8
b_0,2.67,2.33,2.0,2.9,2.98,1.74,0.97,0.92,0.53,0.84,0.58,0.74,0.69,0.86,0.65,0.83
f_0,3.05,2.27,2.33,2.22,2.23,2.13,1.24,0.77,0.8,0.89,0.84,0.58,0.65,0.75,0.55,0.84
h_0,2.81,2.54,2.4,2.77,2.29,2.05,1.33,1.26,0.87,1.01,0.88,0.93,0.99,0.85,0.82,0.73
a_0,2.64,2.55,2.77,3.04,3.21,2.89,1.21,1.22,0.84,1.0,0.62,0.9,0.67,0.56,0.77,0.93
g_0,3.05,2.48,2.94,2.73,2.77,2.49,0.94,1.42,0.94,1.04,0.91,0.96,0.62,0.86,1.0,1.04
e_0,3.69,3.49,2.78,2.54,2.85,2.25,1.14,1.11,0.98,0.85,0.88,0.51,1.08,0.98,0.62,0.54
