,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,114.35,59.35,110.62,89.78,109.07,375.7,8626.03,16628.79,23343.24,27382.53,25969.38,39113.61,95588.15,159795.62,156678.51,118728.71
d_1,76.23,118.3,75.28,73.66,118.07,363.07,8808.04,16841.47,18454.29,46325.42,35532.74,52955.34,113029.54,145146.91,155436.38,162667.42
e_1,61.48,59.88,121.04,99.19,117.01,453.82,9291.93,17439.98,34255.61,29999.22,36835.28,48876.34,113647.71,151010.98,157954.65,149204.31
c_1,62.2,69.51,58.24,140.58,177.95,322.82,8221.8,14475.23,16484.51,18253.87,30614.64,32104.11,101533.48,143386.73,128237.93,144116.79
b_1,59.31,57.17,58.52,64.43,181.0,641.31,8289.89,14690.23,17744.21,24630.91,29092.78,29260.97,81325.39,138531.73,92389.87,146577.89
a_1,40.52,44.68,36.68,55.82,48.35,520.68,4896.29,10649.78,13094.86,16496.09,21246.13,27233.38,61545.49,86030.8,61952.91,96312.9
h_1,21.62,17.81,16.82,24.93,28.03,100.53,3264.65,5165.43,5700.7,7060.97,8189.4,11553.76,22503.44,48364.83,35127.61,46267.01
g_1,12.51,19.86,13.8,18.84,23.03,84.8,1609.27,5459.22,3994.23,6529.14,9191.83,10142.48,20188.58,25576.38,26735.01,36950.21
d_0,12.94,12.6,11.87,27.47,25.1,74.2,1818.19,3589.76,5659.79,4420.2,6013.11,8270.52,19390.35,31338.15,32226.17,32387.09
c_0,12.92,11.87,12.06,15.1,19.18,81.2,1759.42,3481.8,4865.86,7197.32,7058.14,13024.97,20079.21,29699.1,34247.79,35732.12
f_0,9.83,13.71,10.66,16.0,21.1,75.67,1692.07,3159.5,3989.78,5563.81,8091.16,8109.21,19524.8,23867.97,27600.89,49617.2
b_0,12.31,12.24,10.29,16.38,15.89,60.08,1476.76,2654.67,3686.81,3975.33,5740.83,9489.31,19779.28,25707.35,42243.13,28494.53
h_0,11.19,9.27,8.69,10.44,15.36,50.26,978.88,2628.88,2734.83,3589.46,4402.14,5593.63,11289.43,24243.76,18621.25,19190.95
g_0,6.41,10.65,7.77,9.76,11.92,44.3,984.17,1959.85,2247.2,3574.06,5302.59,5143.19,10120.99,15283.23,18222.22,19756.74
a_0,7.18,8.81,7.4,9.81,12.96,37.76,1110.37,2029.68,2504.13,2918.73,4089.77,3877.82,12527.31,18102.36,24423.98,16317.49
e_0,7.8,8.37,4.43,10.48,12.88,45.54,1064.3,1914.15,2231.88,2965.77,3273.7,5038.55,12293.68,18266.95,17512.34,26296.2
