,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.87,0.97,0.96,0.75,0.54,0.68,0.6,0.68,0.56,0.53,0.5,0.54,0.42,0.56
e_1,0.8,1.0,0.93,1.09,1.01,0.89,0.75,0.87,0.58,0.67,0.6,0.68,0.6,0.64,0.64,0.6
d_1,1.13,1.06,1.0,0.98,0.93,0.85,0.63,0.64,0.87,0.47,0.7,0.59,0.61,0.54,0.56,0.46
c_1,1.05,0.91,1.02,1.0,1.34,0.87,0.71,0.46,0.68,0.64,0.49,0.58,0.56,0.51,0.59,0.56
b_1,1.03,1.0,1.08,0.76,1.0,1.29,0.82,0.68,0.69,0.78,0.72,0.62,0.66,0.53,0.5,0.58
a_1,1.33,1.14,1.2,1.13,0.78,1.0,0.99,0.89,0.76,0.88,0.87,0.8,0.74,0.77,0.75,0.76
h_1,1.87,1.33,1.58,1.45,1.18,1.03,1.0,0.87,0.92,1.06,0.93,0.83,0.79,0.74,0.81,0.89
d_0,1.44,1.14,1.59,2.29,1.49,1.08,1.09,1.0,0.79,0.96,0.97,0.93,0.92,0.78,0.87,0.8
c_0,1.63,1.73,1.15,1.4,1.42,1.28,1.11,1.38,1.0,1.04,1.41,0.85,0.92,0.94,0.86,0.89
g_1,1.52,1.48,2.08,1.57,1.39,1.17,0.92,0.96,0.99,1.0,0.94,1.18,0.88,0.81,0.94,0.8
b_0,1.82,1.58,1.46,1.97,1.38,1.12,1.06,1.02,0.73,1.11,1.0,0.91,0.97,1.21,0.93,0.91
f_0,1.88,1.44,1.68,1.7,1.62,1.26,1.17,1.12,1.14,0.87,1.04,1.0,1.0,0.82,1.33,0.69
h_0,1.97,1.64,1.64,1.81,1.54,1.27,1.28,1.17,1.09,1.15,1.08,1.03,1.0,0.9,0.82,1.1
a_0,1.8,1.53,1.85,1.89,1.91,1.42,1.25,1.19,1.16,1.2,0.87,1.2,1.14,1.0,1.05,1.07
e_0,2.42,1.54,1.68,1.73,1.9,1.36,1.21,1.15,1.14,1.03,1.12,0.78,1.23,1.0,1.0,0.97
g_0,1.8,1.59,2.15,1.82,1.67,1.31,1.09,1.28,1.12,1.23,1.13,1.48,0.93,1.04,1.11,1.0
