,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.66,1.72,2.44,1.99,1.79,1.97,0.76,1.0,0.79,0.77,1.4,0.68,0.42,0.68,0.76,0.67
d_1,2.37,0.66,2.46,1.88,2.04,1.56,1.05,0.73,1.39,0.89,0.73,0.65,0.66,0.42,0.65,0.57
e_1,1.25,2.08,0.66,2.3,2.34,2.24,1.12,0.9,0.93,0.79,0.85,0.91,0.71,0.66,0.69,1.51
c_1,2.14,2.61,2.1,0.65,2.34,1.71,0.8,0.79,0.53,1.29,0.75,0.61,0.74,0.6,0.67,0.79
b_1,2.8,2.32,2.04,1.33,0.63,2.63,1.17,1.15,0.83,0.88,0.76,1.73,0.61,0.76,0.78,0.85
a_1,2.59,3.75,2.32,3.82,1.62,0.57,1.39,1.06,0.96,0.83,0.93,0.95,0.79,0.84,,0.79
h_1,2.98,2.59,2.32,2.73,2.3,2.26,0.6,1.53,0.87,0.87,0.86,1.06,1.36,0.85,0.73,0.92
g_1,3.37,2.83,2.89,3.39,2.87,2.48,0.95,0.57,0.98,0.95,1.0,1.16,0.62,1.05,0.93,0.8
d_0,2.78,4.52,1.77,3.52,3.27,2.73,1.43,1.5,0.66,1.01,1.03,0.91,0.94,0.78,1.04,1.04
c_0,3.69,1.91,2.86,7.04,2.81,2.9,1.4,1.26,1.34,0.65,1.11,1.41,0.93,0.86,1.35,1.01
f_0,6.43,2.79,2.97,3.49,3.07,2.33,1.37,1.11,1.55,0.89,0.63,1.03,0.82,0.65,0.93,1.21
b_0,3.42,2.74,2.68,3.92,5.58,2.66,1.24,1.31,1.2,0.67,1.07,0.65,1.07,0.8,1.31,0.9
h_0,4.03,3.07,2.78,3.33,3.69,3.14,2.61,1.7,1.43,1.06,1.36,1.11,1.72,1.21,1.11,1.02
g_0,3.51,3.8,3.16,3.66,3.22,3.55,1.21,3.51,1.37,1.3,1.37,1.42,0.87,1.76,1.11,1.07
a_0,3.28,3.55,4.06,3.55,3.94,,1.65,1.75,1.2,0.94,1.26,0.77,1.05,1.14,0.59,0.95
e_0,5.58,3.75,5.58,3.0,2.99,3.8,1.35,1.56,1.34,1.15,0.75,1.27,1.29,1.01,1.88,0.58
