,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.46,0.06,0.08,0.06,0.09,0.06,0.25,0.25,0.72,0.47,0.42,0.35,0.46,0.35,0.64,
f_1,0.15,5.62,0.08,0.06,0.07,0.09,0.26,0.21,0.37,0.39,0.41,,0.61,0.39,0.54,0.33
d_1,0.09,0.08,6.4,0.07,0.07,0.09,0.34,0.3,,0.69,0.28,0.4,0.65,0.33,0.62,0.28
c_1,0.07,0.06,0.07,6.45,0.15,0.07,0.36,0.3,0.48,,0.32,0.39,0.69,0.41,0.47,0.35
b_1,0.08,0.1,0.08,0.06,7.68,0.15,0.28,0.37,0.28,0.4,,0.53,0.48,0.26,0.4,0.42
a_1,0.07,0.07,0.08,0.08,0.08,11.23,0.29,0.27,0.39,0.38,0.3,0.49,0.64,,,
h_1,0.28,0.44,0.3,0.29,0.23,0.18,14.18,1.72,1.68,1.37,1.53,1.13,,1.34,1.87,1.8
g_1,0.24,0.29,0.45,0.26,0.25,0.35,1.4,16.9,0.88,0.9,1.7,2.02,2.64,1.25,,1.18
d_0,0.32,0.34,,0.84,0.47,0.41,1.39,1.02,11.46,1.89,1.74,1.57,3.11,2.55,2.9,2.08
c_0,0.36,0.43,0.38,,0.35,0.32,1.64,1.37,2.16,12.71,3.37,1.02,3.29,1.28,3.71,2.25
b_0,0.42,0.36,0.34,0.4,,0.28,2.09,1.58,1.43,1.62,14.08,2.26,3.06,3.74,2.32,2.05
f_0,0.31,,0.44,0.45,0.27,0.35,1.18,1.41,2.38,2.24,1.87,15.52,3.19,1.6,2.08,3.85
h_0,0.57,0.86,0.59,0.51,0.65,0.4,,2.72,2.13,2.67,2.76,2.58,,2.24,8.34,2.7
a_0,0.43,0.38,0.29,0.45,0.33,,1.12,1.42,2.37,2.17,1.47,2.06,2.39,21.61,3.4,
g_0,0.34,0.78,0.91,0.62,0.42,,1.95,,2.07,2.25,3.48,3.64,5.11,2.27,,3.87
e_0,,0.31,0.3,0.42,0.42,,1.89,1.28,2.63,2.02,2.45,2.2,2.88,,3.41,23.79
