,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.94,0.7,1.22,1.1,0.95,1.08,1.13,1.31,0.9,1.06,1.22,1.23,1.19,1.16,1.19
d_1,1.05,1.0,1.09,0.88,0.98,0.97,1.01,0.85,0.93,1.22,1.09,0.95,1.0,0.98,1.04,0.79
f_1,1.41,0.92,1.0,1.02,0.83,0.83,0.84,0.99,1.06,0.92,0.93,0.76,0.72,0.79,0.93,1.08
c_1,0.83,1.15,0.99,1.0,1.5,0.92,1.03,0.98,0.72,0.79,0.82,0.94,1.09,0.85,0.92,0.88
b_1,0.9,1.01,1.22,0.68,1.0,1.58,1.04,1.06,0.99,1.16,1.1,0.96,1.09,1.09,0.75,1.08
a_1,1.06,1.04,1.19,1.09,0.63,1.0,1.12,1.03,0.92,1.07,1.18,1.04,1.01,1.03,1.23,1.09
h_1,0.94,1.01,1.14,0.99,0.99,0.89,1.0,1.19,0.92,0.95,0.9,0.99,1.08,1.07,1.01,1.14
g_1,0.89,1.17,1.03,0.98,1.02,0.96,0.84,1.0,0.95,0.98,1.03,1.26,0.82,1.0,0.97,0.99
d_0,0.75,1.14,0.94,1.38,1.02,1.06,1.13,1.05,1.0,0.95,0.81,0.97,1.01,0.98,0.87,1.11
c_0,1.06,0.8,1.1,1.26,0.88,0.92,1.05,1.06,1.11,1.0,1.37,1.04,1.08,1.11,1.2,1.07
b_0,0.99,0.9,1.05,1.14,0.85,0.86,1.11,1.0,1.2,0.77,1.0,1.06,1.07,1.0,1.37,1.07
f_0,0.81,1.06,1.3,1.06,1.03,1.0,1.02,0.8,1.03,0.96,0.98,1.0,1.08,1.5,0.89,0.92
h_0,0.84,0.98,1.36,0.94,0.93,0.93,0.95,1.26,0.97,0.9,0.99,0.92,1.0,0.97,0.84,1.07
e_0,0.78,1.04,1.32,1.13,1.03,0.93,0.96,1.07,1.03,0.94,0.98,0.68,1.03,1.0,1.01,0.96
a_0,0.88,0.95,1.02,1.28,1.34,0.7,1.09,1.01,1.17,0.77,0.73,1.07,1.13,0.94,1.0,1.04
g_0,0.84,1.22,0.93,1.13,0.97,0.9,0.9,1.01,0.93,0.97,0.98,1.1,0.95,1.01,0.89,1.01
