,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.46,1.31,1.3,1.77,3.3,17.63,32.21,38.52,38.7,42.01,58.98,66.39,84.5,117.62,144.22
e_1,0.68,1.0,1.32,1.27,1.67,3.66,19.37,44.5,35.63,37.25,39.08,68.33,71.67,74.85,147.28,115.2
c_1,0.76,0.76,1.0,1.18,1.93,2.54,14.07,16.78,24.16,21.56,29.25,40.42,63.72,59.25,69.68,87.04
d_1,0.76,0.78,0.85,1.0,1.13,2.48,13.02,23.22,22.36,31.68,33.74,37.47,60.22,62.05,61.11,72.34
b_1,0.57,0.6,0.52,0.88,1.0,2.75,12.52,17.17,17.83,19.83,22.57,33.34,47.06,39.49,53.29,73.03
a_1,0.3,0.27,0.4,0.4,0.37,1.0,6.57,9.77,11.41,11.5,13.95,22.4,23.3,26.33,35.61,32.62
h_1,0.06,0.05,0.07,0.08,0.08,0.15,1.0,1.72,2.15,1.72,2.32,2.77,3.79,3.94,6.51,7.08
d_0,0.03,0.02,0.06,0.04,0.06,0.11,0.59,1.0,1.42,0.98,1.36,1.84,2.88,2.7,3.76,3.71
g_1,0.03,0.03,0.04,0.05,0.06,0.08,0.47,0.74,1.0,0.91,1.18,2.09,1.98,2.45,2.98,3.35
c_0,0.03,0.03,0.04,0.03,0.05,0.09,0.55,1.01,1.08,1.0,1.85,1.79,2.77,2.55,3.21,3.44
b_0,0.02,0.03,0.03,0.03,0.05,0.07,0.45,0.77,0.81,0.53,1.0,1.41,1.94,3.31,2.81,2.95
f_0,0.02,0.02,0.02,0.03,0.03,0.04,0.36,0.55,0.46,0.56,0.69,1.0,1.56,1.74,3.13,1.42
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.26,0.36,0.51,0.37,0.54,0.66,1.0,0.97,1.39,1.83
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.25,0.37,0.39,0.4,0.31,0.62,1.02,1.0,1.38,1.59
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.25,0.35,0.32,0.38,0.3,0.74,0.73,1.01,0.92
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.26,0.3,0.3,0.33,0.7,0.55,0.62,1.06,1.0
