,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,1.99,1.71,1.89,1.95,1.64,0.39,0.6,0.38,0.36,0.35,0.98,0.2,0.31,0.31,0.29
e_1,1.05,0.44,2.62,2.01,2.01,2.35,0.58,0.68,0.52,0.48,0.51,0.54,0.31,0.51,0.36,1.09
d_1,2.06,2.56,0.42,2.52,2.44,1.72,0.59,0.37,1.0,0.34,0.39,0.33,0.29,0.39,0.18,0.38
c_1,2.07,1.82,2.62,0.41,1.9,2.33,0.62,0.58,0.23,0.81,0.42,0.41,0.31,0.48,0.32,0.4
b_1,2.66,1.97,2.52,1.21,0.38,2.25,0.85,0.78,0.56,0.69,1.34,0.5,0.34,0.5,0.4,0.54
a_1,3.43,2.52,2.75,2.97,1.33,0.33,1.02,0.89,0.62,0.7,0.68,0.6,0.48,1.46,0.41,0.58
h_1,3.65,3.58,2.79,3.04,3.07,3.26,0.34,0.93,0.76,0.63,0.65,0.63,0.86,0.57,0.63,0.71
g_1,3.48,4.07,3.35,4.13,3.92,3.3,0.77,0.31,1.0,0.76,0.74,0.82,0.42,0.72,0.84,0.74
d_0,4.04,1.89,7.5,4.19,3.78,3.83,1.09,1.16,0.39,0.73,0.75,0.68,0.62,0.87,0.75,0.75
c_0,5.32,4.13,1.99,7.41,4.43,3.39,0.91,1.11,0.95,0.38,0.8,0.6,0.61,0.86,0.56,0.75
b_0,4.64,3.41,2.79,6.37,9.97,3.58,1.11,1.06,0.73,0.39,0.36,0.71,0.54,0.74,0.49,0.71
f_0,7.88,4.04,3.77,3.9,4.75,4.03,1.29,0.72,0.93,0.99,0.9,0.35,0.65,0.78,0.36,0.89
h_0,4.38,5.23,3.87,4.46,3.74,3.31,2.23,1.33,1.06,0.74,0.9,0.88,0.98,0.8,0.66,0.66
a_0,5.24,5.14,4.63,4.34,6.23,8.26,1.32,1.22,1.19,0.74,0.56,0.95,0.63,0.33,0.66,0.67
g_0,5.51,5.23,4.77,5.97,4.98,5.28,0.92,2.25,1.27,0.85,0.93,0.86,0.52,0.98,1.01,0.92
e_0,7.74,8.0,4.39,5.32,5.44,5.95,1.33,1.58,0.84,0.74,0.94,0.49,0.77,0.75,0.73,0.31
