,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.93,0.11,0.09,0.08,0.08,0.07,0.07,0.05,0.12,,0.06,0.06,0.05,0.05,0.05,0.06
f_1,0.1,0.93,0.17,0.11,0.11,0.08,0.07,0.06,0.06,0.05,0.05,,0.04,0.07,0.03,0.05
e_1,0.11,0.1,0.93,0.11,0.09,0.05,0.1,0.05,0.07,0.11,0.07,0.06,0.05,0.04,,0.04
c_1,0.12,0.09,0.1,0.93,0.15,0.05,0.09,0.05,,0.05,0.06,0.07,0.05,0.07,0.06,0.05
b_1,0.12,0.1,0.12,0.1,0.93,0.1,0.06,0.08,0.07,0.08,,0.07,0.04,0.06,0.05,0.06
a_1,0.13,0.14,0.11,0.13,0.09,0.93,0.08,0.07,0.11,0.06,0.06,0.06,,0.08,,0.06
h_1,0.3,0.36,0.17,0.24,0.23,0.2,0.71,0.24,0.2,0.17,0.17,0.16,0.15,,0.14,0.16
g_1,0.52,0.3,0.31,0.28,0.28,0.17,0.14,0.71,0.16,0.13,0.21,0.25,0.14,0.12,0.14,
c_0,0.29,0.44,0.32,,0.29,0.16,0.26,0.24,0.59,0.26,0.28,0.22,0.15,0.19,0.15,0.17
d_0,,0.41,0.3,0.6,0.26,0.24,0.24,0.22,0.18,0.58,0.18,0.2,0.13,0.22,0.16,0.21
b_0,0.37,0.38,0.21,0.3,,0.21,0.31,0.16,0.23,0.32,0.58,0.23,0.24,0.25,0.13,0.2
f_0,0.42,,0.38,0.29,0.34,0.23,0.25,0.18,0.25,0.23,0.22,0.58,0.17,0.22,0.23,0.2
a_0,0.36,0.46,0.42,0.36,0.41,,0.3,0.23,0.2,0.27,0.18,0.2,0.58,0.26,0.19,0.17
h_0,0.56,0.56,0.56,0.39,0.43,0.33,,0.48,0.25,0.27,0.24,0.21,0.21,,0.15,0.32
e_0,0.37,0.55,,0.35,0.29,,0.32,0.25,0.3,0.25,0.23,0.2,0.17,0.26,0.57,0.2
g_0,0.51,0.41,0.54,0.58,0.4,0.29,0.33,,0.35,0.26,0.29,0.35,0.26,0.29,0.22,
