,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,15.23,1.23,0.59,0.56,0.45,0.45,0.77,0.75,0.82,0.85,0.36,0.84,0.67,1.08,0.62,0.91
e_1,0.56,15.42,0.41,0.76,0.6,0.6,0.93,2.08,0.87,0.88,0.98,0.95,1.05,0.99,0.43,0.84
d_1,0.62,0.64,18.2,0.37,0.42,0.63,0.94,0.41,0.84,2.31,1.01,1.2,0.9,0.96,1.18,0.98
c_1,0.53,0.41,0.51,18.01,1.26,0.55,0.81,0.97,0.8,0.31,0.95,0.68,0.87,0.91,1.08,1.05
b_1,0.62,0.41,0.62,0.51,20.54,1.3,0.8,0.78,0.81,0.68,1.09,0.34,0.76,0.92,1.04,0.88
a_1,0.67,0.54,0.56,0.59,0.56,29.73,0.95,0.95,0.87,0.87,0.97,1.04,0.49,0.84,0.89,0.77
h_1,1.04,0.69,0.77,0.77,0.63,0.58,4.87,0.99,1.74,1.22,1.02,1.1,1.19,0.8,0.99,1.86
d_0,0.75,0.55,0.44,2.45,0.72,0.5,1.21,2.79,0.97,0.76,1.01,1.37,1.14,1.16,1.22,1.5
g_1,0.48,0.62,1.81,0.65,0.66,0.64,1.05,0.86,6.25,0.95,1.81,1.35,1.19,1.17,1.3,0.79
c_0,0.99,0.68,0.79,0.35,0.56,0.67,1.49,0.97,1.39,3.02,1.43,3.61,1.93,1.47,1.31,1.36
f_0,0.39,0.57,0.9,0.97,0.67,0.74,1.23,1.2,1.37,1.33,3.71,1.58,1.71,1.33,3.7,1.19
b_0,0.81,0.76,0.98,0.81,0.44,0.35,1.28,1.01,1.21,1.22,1.26,3.97,4.2,1.3,1.19,1.23
a_0,0.71,0.73,1.03,0.7,0.76,0.26,1.44,1.17,1.33,1.23,1.45,1.15,3.95,1.29,1.28,1.35
h_0,1.25,0.6,0.92,0.88,0.65,0.6,0.64,1.04,1.39,1.13,1.02,1.14,1.06,0.54,1.24,1.68
e_0,0.68,0.32,0.89,1.02,0.97,0.87,1.22,1.02,1.13,1.15,1.3,1.31,1.39,1.35,4.44,1.28
g_0,0.59,0.62,1.56,0.81,0.48,0.69,1.29,0.93,0.75,1.06,2.95,1.18,1.24,1.17,1.46,0.75
