,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.54,0.76,0.85,1.15,0.87,0.75,1.14,0.92,0.99,1.67,1.09,1.03,1.16,0.88,0.72,1.03
d_1,0.99,1.55,0.92,0.76,0.83,0.73,1.14,0.89,1.63,0.71,1.08,1.06,1.12,1.03,0.97,1.01
f_1,1.36,0.89,1.55,0.81,0.76,0.66,0.99,0.99,0.99,1.03,0.74,0.94,0.9,0.96,0.63,1.04
c_1,0.72,0.95,0.97,1.58,1.38,0.75,1.02,0.91,0.8,0.83,0.98,0.7,1.15,0.75,0.9,1.08
b_1,0.87,0.89,0.95,0.78,1.6,1.34,1.08,1.05,0.89,1.03,0.94,0.7,1.25,0.76,0.99,1.09
a_1,1.01,1.07,1.06,1.05,0.74,1.73,1.07,1.13,0.97,1.22,1.07,1.32,1.13,0.88,1.14,1.02
h_1,1.05,1.19,1.41,1.12,1.0,0.84,1.78,1.4,1.22,1.2,1.24,1.33,1.21,0.98,1.08,1.62
g_1,1.08,1.62,1.09,0.99,0.99,0.98,1.29,1.89,1.45,1.2,1.68,1.45,1.19,1.07,1.25,1.29
c_0,1.21,1.21,1.29,0.94,1.08,0.96,1.52,1.33,1.77,1.48,1.35,2.19,1.4,1.5,1.14,1.48
d_0,0.94,1.03,1.22,1.94,1.19,0.86,1.38,1.15,0.94,1.79,1.26,1.24,1.48,1.11,1.1,1.43
f_0,0.99,1.21,1.27,1.15,1.29,0.91,1.51,1.38,1.48,1.37,1.83,1.42,1.66,1.17,2.17,1.38
b_0,1.14,1.4,1.34,1.43,0.96,0.68,1.43,1.26,1.16,1.3,1.33,1.82,1.65,2.17,1.23,1.45
h_0,1.09,1.33,1.63,1.33,1.1,1.03,1.18,1.83,1.32,1.44,1.29,1.35,1.32,1.25,1.15,1.91
a_0,1.2,1.3,1.4,1.34,1.2,0.78,1.63,1.44,1.4,1.45,1.43,1.3,1.82,1.89,1.37,1.8
e_0,1.08,1.34,1.55,1.2,1.12,1.0,1.64,1.4,1.52,1.33,1.21,1.55,1.81,1.25,1.91,1.62
g_0,1.07,1.72,1.16,1.36,1.17,1.07,1.31,1.17,1.4,1.25,1.83,1.48,1.44,1.05,1.35,1.25
