,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.25,0.2,0.39,0.23,0.21,0.15,0.43,0.27,0.53,0.54,0.39,0.12,0.57,0.33,0.43,0.3
d_1,0.25,2.3,0.19,0.18,0.21,0.17,0.47,0.41,0.88,0.1,0.51,0.56,0.58,0.39,0.63,0.39
e_1,0.25,0.23,2.31,0.22,0.17,0.16,0.42,0.37,0.48,0.84,0.39,0.44,0.66,0.32,0.51,0.1
c_1,0.23,0.22,0.22,2.46,0.39,0.18,0.37,0.3,0.1,0.52,0.3,0.42,0.51,0.32,0.56,0.37
b_1,0.22,0.26,0.19,0.27,2.55,0.31,0.43,0.35,0.32,0.42,0.1,0.38,0.53,0.27,0.43,0.4
a_1,0.28,0.25,0.28,0.16,0.18,2.89,0.47,0.39,0.43,0.43,0.54,0.29,0.63,0.13,0.53,0.25
h_1,0.55,0.39,0.36,0.37,0.34,0.29,2.75,0.75,0.89,0.67,0.91,0.78,0.28,0.55,1.08,0.68
g_1,0.45,0.61,0.3,0.35,0.34,0.27,0.66,3.07,0.8,0.58,0.86,1.15,1.02,0.72,0.33,0.57
c_0,0.52,0.47,0.35,0.14,0.28,0.33,0.74,0.76,2.35,0.77,1.71,0.92,1.13,0.65,0.88,0.72
d_0,0.42,0.09,0.36,0.72,0.33,0.31,0.68,0.9,0.65,2.28,1.0,0.9,0.87,0.56,0.95,0.72
b_0,0.4,0.54,0.37,0.47,0.11,0.23,0.83,0.77,0.78,0.88,2.46,0.91,1.27,1.6,0.95,0.79
f_0,0.15,0.46,0.38,0.4,0.4,0.28,0.85,0.8,0.89,0.85,0.99,2.61,0.98,0.67,1.19,1.64
h_0,0.48,0.44,0.43,0.4,0.29,0.35,0.28,0.82,0.8,0.78,0.84,0.7,0.34,0.67,1.3,0.65
a_0,0.46,0.46,0.42,0.4,0.34,0.11,0.69,0.72,0.82,0.88,0.76,0.95,1.37,3.04,1.29,0.6
g_0,0.4,0.6,0.3,0.43,0.32,0.27,0.72,0.37,0.92,0.87,0.72,1.16,0.9,0.68,0.38,0.79
e_0,0.33,0.52,0.24,0.41,0.32,0.44,0.86,0.79,0.81,0.71,0.86,0.87,1.2,0.75,1.13,2.99
