,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.9,0.21,0.25,0.17,0.17,0.13,0.2,0.09,0.15,0.35,0.21,0.2,0.2,0.15,0.14,0.19
e_1,0.18,0.89,0.23,0.27,0.17,0.15,0.19,0.38,0.15,0.17,0.17,0.19,0.22,0.13,0.07,0.16
f_1,0.23,0.39,0.89,0.2,0.13,0.13,0.17,0.19,0.15,0.19,0.08,0.16,0.16,0.12,0.08,0.13
c_1,0.22,0.22,0.22,0.89,0.31,0.1,0.17,0.21,0.13,0.08,0.17,0.12,0.21,0.11,0.11,0.19
b_1,0.23,0.2,0.19,0.22,0.89,0.25,0.19,0.17,0.13,0.17,0.16,0.08,0.17,0.08,0.13,0.2
a_1,0.24,0.22,0.18,0.2,0.19,0.88,0.21,0.24,0.18,0.21,0.22,0.19,0.22,0.05,0.16,0.16
h_1,0.29,0.24,0.39,0.26,0.19,0.13,0.56,0.23,0.26,0.2,0.18,0.19,0.15,0.16,0.15,0.24
d_0,0.18,0.25,0.27,0.51,0.23,0.16,0.22,0.42,0.16,0.16,0.2,0.19,0.22,0.11,0.13,0.19
g_1,0.45,0.24,0.22,0.23,0.2,0.14,0.17,0.25,0.57,0.21,0.33,0.22,0.27,0.18,0.18,0.11
c_0,0.3,0.26,0.32,0.17,0.15,0.14,0.26,0.28,0.19,0.46,0.22,0.47,0.27,0.18,0.19,0.25
f_0,0.31,0.22,0.19,0.3,0.23,0.16,0.22,0.27,0.23,0.22,0.44,0.23,0.27,0.16,0.32,0.2
b_0,0.33,0.26,0.34,0.3,0.09,0.1,0.23,0.27,0.18,0.2,0.24,0.44,0.3,0.34,0.18,0.19
h_0,0.32,0.26,0.41,0.24,0.19,0.14,0.14,0.24,0.23,0.2,0.2,0.21,0.18,0.14,0.15,0.25
a_0,0.35,0.26,0.32,0.25,0.18,0.08,0.28,0.25,0.18,0.26,0.29,0.21,0.27,0.39,0.19,0.22
e_0,0.38,0.12,0.29,0.28,0.21,0.16,0.28,0.27,0.19,0.24,0.22,0.22,0.29,0.2,0.4,0.23
g_0,0.48,0.22,0.26,0.23,0.19,0.15,0.22,0.2,0.15,0.22,0.36,0.24,0.26,0.16,0.15,0.16
