,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,5.87,2.34,1.35,1.3,1.05,1.03,4.16,5.33,4.55,5.88,2.23,5.72,4.71,10.2,4.56,9.25
e_1,1.3,5.86,1.04,1.57,1.42,1.35,4.89,11.79,4.7,6.09,6.69,6.42,7.33,9.79,2.63,8.15
d_1,1.36,1.54,6.46,0.92,0.98,1.41,4.73,2.63,4.58,12.06,6.78,7.73,6.3,9.07,7.97,9.44
c_1,1.29,1.0,1.17,6.68,2.39,1.19,4.54,6.85,4.05,1.97,6.39,4.93,6.33,9.19,7.37,10.87
b_1,1.47,1.0,1.42,1.23,7.33,2.44,4.34,5.48,4.55,4.89,7.26,2.08,5.83,8.65,7.11,8.39
a_1,1.51,1.22,1.29,1.37,1.31,11.03,4.96,6.52,4.5,5.81,6.18,6.88,3.37,7.85,6.34,7.71
h_1,2.07,1.43,1.75,1.62,1.43,1.33,15.45,6.51,8.34,7.87,6.79,6.78,7.65,6.94,6.21,15.34
d_0,1.59,1.4,0.81,3.45,1.51,1.01,6.1,14.74,5.31,5.56,6.97,8.18,7.9,11.85,7.8,13.23
g_1,1.15,1.45,2.77,1.28,1.45,1.6,5.56,6.14,20.03,5.99,10.03,8.1,8.1,11.83,8.1,7.21
c_0,2.01,1.48,1.66,0.82,1.25,1.56,6.93,7.0,6.86,16.03,9.44,15.89,12.16,12.45,9.19,12.3
f_0,0.97,1.34,1.88,2.0,1.51,1.59,6.25,8.01,6.53,8.35,18.01,9.37,10.63,13.14,18.61,11.35
b_0,1.85,1.52,1.94,1.67,0.99,0.78,6.48,6.94,5.77,7.98,8.9,18.84,20.38,12.43,7.67,11.54
a_0,1.61,1.58,2.08,1.57,1.64,0.42,6.75,6.89,6.52,7.63,9.42,7.16,21.8,12.31,8.86,12.33
h_0,2.19,1.5,1.97,1.93,1.42,1.39,3.19,7.22,6.95,7.39,7.07,7.44,7.63,5.34,8.45,15.58
e_0,1.41,0.82,1.83,2.0,1.85,1.94,5.92,6.86,6.01,7.31,7.96,7.55,9.81,12.44,23.64,11.3
g_0,1.26,1.52,2.61,1.71,1.18,1.53,6.4,6.67,3.44,6.66,14.48,6.95,8.28,11.13,9.42,6.35
