,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,6.15,2.96,3.05,2.26,2.78,2.75,10.58,10.34,22.44,10.75,16.71,14.99,21.7,23.66,14.9,13.94
e_1,2.52,6.16,2.88,3.37,2.7,3.01,11.66,10.63,13.16,21.5,14.76,15.56,20.04,21.35,15.98,12.47
f_1,2.54,4.26,6.35,2.94,2.84,2.59,9.54,9.38,10.9,13.07,11.47,10.29,18.48,17.18,14.24,10.95
c_1,2.66,2.46,2.98,6.87,5.07,3.13,9.35,10.54,7.17,11.72,8.46,12.22,20.82,19.24,12.61,15.73
b_1,2.89,2.58,2.98,2.76,7.73,5.96,9.3,9.79,10.83,12.56,8.89,13.33,19.12,18.7,8.98,15.48
a_1,2.91,2.84,2.95,2.84,2.86,11.06,10.98,10.83,14.31,14.39,15.53,15.04,22.76,17.21,11.39,14.14
h_1,3.33,2.7,3.82,2.63,3.08,2.97,19.18,15.18,14.62,12.42,14.93,16.52,17.23,26.58,17.41,17.44
g_1,4.5,2.94,3.04,2.5,2.9,2.77,10.55,22.53,13.86,10.34,14.33,19.46,20.06,17.31,16.26,17.13
c_0,3.37,3.3,3.61,2.34,2.3,2.66,12.71,11.14,20.89,13.18,25.14,16.29,23.72,23.76,22.15,17.39
d_0,2.32,2.78,3.4,5.16,2.97,2.89,10.78,10.82,8.51,19.58,11.99,14.34,21.5,22.4,15.94,17.55
b_0,3.2,3.02,3.45,3.54,2.4,1.81,11.46,11.51,13.51,14.83,22.67,14.27,25.12,24.48,31.71,17.09
f_0,3.61,2.69,2.74,3.29,2.72,3.12,11.07,12.99,14.77,15.0,15.41,24.67,24.27,24.33,16.89,29.3
h_0,3.23,3.14,4.11,3.04,2.73,3.04,8.25,13.67,13.22,13.17,13.85,12.68,16.31,29.08,12.83,17.0
g_0,4.13,2.69,3.03,2.88,2.79,3.49,11.24,9.44,14.77,12.67,15.5,22.74,19.69,20.07,15.6,18.55
a_0,3.18,2.95,3.29,3.64,3.34,2.13,12.06,10.91,12.99,12.47,13.14,16.36,25.2,25.26,31.09,15.4
e_0,3.17,2.39,3.52,3.16,3.18,3.23,11.8,12.08,12.78,12.12,15.32,14.79,26.22,22.61,16.18,31.64
