,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.65,0.68,0.98,1.05,0.95,0.86,0.45,0.43,0.42,0.33,0.34,0.4,0.29,0.3,0.32,0.37
f_1,1.01,0.65,0.91,0.96,0.89,0.75,0.37,0.43,0.34,0.34,0.34,0.38,0.21,0.27,0.3,0.28
d_1,1.07,1.07,0.63,0.89,0.94,0.84,0.44,0.33,0.43,0.39,0.35,0.34,0.29,0.2,0.34,0.31
c_1,0.85,0.97,1.18,0.63,1.05,0.86,0.43,0.46,0.26,0.39,0.32,0.34,0.31,0.27,0.29,0.3
b_1,1.01,1.16,1.07,0.73,0.62,1.06,0.5,0.47,0.38,0.45,0.4,0.38,0.33,0.32,0.32,0.36
a_1,1.27,1.48,1.22,1.09,0.79,0.57,0.58,0.55,0.5,0.44,0.46,0.38,0.38,0.4,0.46,0.39
h_1,1.5,1.62,1.5,1.59,1.48,1.24,0.53,0.72,0.56,0.52,0.52,0.57,0.48,0.47,0.52,0.47
g_1,1.71,1.75,1.7,1.65,1.71,1.48,0.66,0.52,0.63,0.63,0.62,0.63,0.43,0.52,0.63,0.58
d_0,1.23,1.6,2.06,1.9,1.71,1.52,0.85,0.88,0.55,0.6,0.68,0.65,0.54,0.54,0.56,0.62
c_0,1.9,1.95,1.25,2.13,1.51,1.7,0.89,0.75,0.82,0.54,0.82,0.6,0.56,0.51,0.61,0.6
b_0,1.96,1.89,1.52,2.42,2.17,1.62,0.86,0.8,0.72,0.45,0.54,0.65,0.58,0.53,0.68,0.61
f_0,1.75,2.12,1.7,2.0,1.89,1.74,0.77,0.6,0.76,0.66,0.7,0.51,0.57,0.44,0.67,0.68
h_0,2.1,2.3,1.93,1.84,1.79,1.61,1.06,0.92,0.72,0.72,0.65,0.67,0.65,0.59,0.6,0.64
g_0,2.21,2.3,2.3,2.09,2.04,1.79,0.79,0.97,0.8,0.73,0.69,0.74,0.58,0.63,0.76,0.65
a_0,2.29,2.21,1.99,2.18,2.58,2.16,0.97,0.85,0.85,0.72,0.5,0.67,0.69,0.61,0.51,0.68
e_0,2.34,2.51,2.06,2.38,2.03,1.76,0.94,0.81,0.79,0.78,0.78,0.54,0.68,0.58,0.77,0.51
