,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,1.08,0.83,0.81,0.68,0.44,0.36,0.38,0.36,0.34,0.29,0.28,0.26,0.32,0.27
e_1,0.83,1.0,0.91,0.72,0.87,0.7,0.49,0.66,0.53,0.39,0.4,0.44,0.37,0.45,0.38,0.31
c_1,0.93,1.1,1.0,1.14,1.39,0.81,0.51,0.32,0.45,0.32,0.34,0.34,0.31,0.25,0.27,0.33
d_1,1.2,1.39,0.88,1.0,0.84,0.65,0.58,0.47,0.38,0.6,0.46,0.37,0.4,0.4,0.34,0.28
b_1,1.23,1.15,0.72,1.19,1.0,1.44,0.49,0.57,0.44,0.53,0.45,0.46,0.38,0.37,0.29,0.32
a_1,1.46,1.44,1.23,1.54,0.69,1.0,0.7,0.77,0.62,0.54,0.55,0.52,0.5,0.46,0.43,0.47
h_1,2.4,1.95,2.04,1.71,1.99,1.37,1.0,0.84,1.03,0.82,0.67,0.68,0.69,0.64,0.54,0.62
d_0,2.87,1.44,3.24,2.31,1.73,1.24,1.21,1.0,1.1,0.95,0.87,0.73,0.77,0.82,0.74,0.74
g_1,2.65,1.82,2.19,2.69,2.25,1.61,0.98,0.92,1.0,0.98,0.89,1.01,0.63,0.8,0.72,0.58
c_0,2.92,2.55,3.39,1.66,1.81,1.73,1.17,1.16,1.0,1.0,1.47,1.07,0.76,0.72,0.92,0.71
b_0,3.05,2.32,3.13,2.15,2.74,1.77,1.65,1.14,1.1,0.69,1.0,1.03,0.8,0.92,1.13,0.83
f_0,3.22,2.41,2.95,2.6,2.29,2.0,1.41,1.3,1.0,0.93,0.99,1.0,0.92,1.07,0.78,0.66
h_0,3.8,2.71,3.39,2.5,2.53,2.08,1.38,1.27,1.57,1.37,1.24,1.09,1.0,1.04,0.87,1.16
e_0,3.95,2.14,4.2,2.28,2.82,1.97,1.6,1.15,1.25,1.35,1.1,1.0,0.95,1.0,0.92,0.93
a_0,3.16,2.49,3.69,2.74,3.36,2.45,1.76,1.38,1.41,1.07,0.88,1.26,1.17,1.11,1.0,1.11
g_0,3.58,3.15,3.25,3.45,3.22,2.21,1.62,1.39,1.5,1.24,1.1,1.5,0.86,1.03,0.81,1.0
