,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.1,1.09,0.84,0.85,0.72,0.77,0.53,0.86,0.7,0.7,0.61,0.55,0.62,0.58,0.47
e_1,0.91,1.0,0.78,1.1,1.04,0.86,0.79,0.73,0.64,0.91,0.63,0.77,0.66,0.67,0.59,0.65
f_1,0.91,1.29,1.0,1.01,0.92,0.71,0.55,0.84,0.63,0.58,0.62,0.65,0.51,0.5,0.48,0.49
c_1,1.18,0.92,0.99,1.0,1.37,0.88,0.76,0.59,0.51,0.48,0.56,0.66,0.58,0.5,0.46,0.64
b_1,1.18,0.96,1.12,0.73,1.0,1.54,0.79,0.72,0.71,0.63,0.81,0.64,0.52,0.53,0.77,0.69
a_1,1.39,1.14,1.41,1.14,0.65,1.0,0.81,0.88,0.74,0.88,0.85,0.74,1.04,0.82,0.74,0.73
h_1,1.27,1.3,1.84,1.36,1.25,1.22,1.0,1.18,0.94,0.91,0.88,0.8,0.92,0.7,0.78,0.99
g_1,1.85,1.33,1.2,1.64,1.36,1.16,0.86,1.0,0.97,0.77,0.94,1.03,0.77,0.9,1.04,0.83
c_0,1.19,1.63,1.51,1.7,1.41,1.32,1.05,1.04,1.0,1.2,1.28,0.93,0.96,0.91,0.95,0.87
d_0,1.35,1.12,1.61,2.21,1.46,1.21,1.1,1.33,0.88,1.0,0.89,1.0,0.95,0.86,0.99,0.98
b_0,1.46,1.56,1.63,1.65,1.27,1.16,1.15,1.11,0.75,1.11,1.0,0.92,1.2,1.37,0.87,1.0
f_0,1.63,1.25,1.64,1.49,1.54,1.48,1.23,0.99,1.09,1.04,1.09,1.0,1.16,0.89,1.38,0.73
h_0,1.82,1.54,1.97,1.72,1.83,1.07,1.12,1.31,1.06,1.04,0.86,0.85,1.0,0.95,0.77,1.11
a_0,1.63,1.59,1.89,1.92,1.75,1.19,1.47,1.16,1.09,1.18,0.76,1.11,1.08,1.0,0.95,0.9
e_0,1.67,1.94,2.03,2.13,1.38,1.34,1.28,1.03,1.07,0.99,1.18,0.72,1.3,1.04,1.0,0.98
g_0,2.09,1.52,2.09,1.66,1.46,1.28,1.05,1.2,1.17,1.02,0.96,1.43,0.88,1.11,1.01,1.0
