,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.06,1.81,2.38,2.04,1.85,1.67,0.66,0.82,0.68,0.6,0.83,0.56,0.37,0.54,0.55,0.53
d_1,2.48,1.05,2.46,2.0,2.05,1.48,0.81,0.58,0.81,0.69,0.57,0.56,0.45,0.34,0.5,0.45
e_1,1.36,2.07,1.06,2.38,2.23,2.12,0.9,0.83,0.82,0.67,0.75,0.73,0.54,0.49,0.59,0.96
c_1,2.25,2.71,1.98,1.06,2.44,1.57,0.69,0.72,0.43,0.77,0.64,0.49,0.56,0.48,0.54,0.55
b_1,2.86,2.5,2.31,1.47,1.06,2.9,1.04,1.03,0.73,0.82,0.68,1.05,0.53,0.61,0.6,0.62
a_1,3.74,4.28,2.89,4.43,1.83,1.07,1.44,1.18,1.1,0.87,0.94,1.07,0.8,0.75,1.17,0.83
h_1,5.67,5.7,5.14,5.56,4.63,4.96,1.31,2.21,1.49,1.49,1.44,1.46,1.57,1.2,1.15,1.21
g_1,7.17,6.61,6.1,7.01,6.09,4.87,2.07,1.33,1.77,1.71,1.75,2.01,1.19,1.58,1.53,1.47
d_0,6.31,9.39,4.29,8.09,6.95,5.75,2.65,2.97,1.51,1.7,1.87,1.73,1.6,1.55,1.62,1.75
c_0,8.51,4.63,6.83,11.19,6.79,6.05,2.97,2.54,2.94,1.5,1.99,2.41,1.71,1.64,1.87,1.99
f_0,10.31,6.86,6.82,7.71,6.78,5.65,2.92,2.12,2.79,1.84,1.49,2.1,1.54,1.1,1.73,2.09
b_0,8.91,6.54,6.41,9.56,10.46,5.7,3.08,2.5,2.42,1.4,2.12,1.54,1.81,1.62,2.36,1.77
h_0,10.33,8.36,8.13,8.36,9.53,7.31,5.25,3.39,2.86,2.33,2.61,2.29,2.66,2.36,2.13,1.97
g_0,10.2,10.51,10.33,10.27,8.58,8.77,3.02,4.54,2.87,2.78,3.16,2.75,1.84,2.85,2.49,2.23
a_0,9.56,9.78,9.68,10.98,12.62,14.41,4.28,4.3,2.9,2.46,3.08,1.71,2.46,2.05,1.56,2.29
e_0,15.25,10.25,11.95,10.14,9.83,8.45,3.64,3.57,3.16,2.54,1.93,2.75,2.78,2.31,3.93,1.58
