,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.35,1.2,0.82,1.35,0.98,0.79,1.98,1.8,3.73,1.83,2.11,2.12,2.82,1.9,1.42,2.59
f_1,1.78,2.41,0.96,1.0,0.84,0.72,1.7,1.59,2.6,2.22,2.1,1.56,2.76,1.89,1.15,2.52
d_1,1.01,1.17,2.47,0.91,0.98,0.82,2.02,1.97,1.53,3.67,2.5,1.95,3.04,1.82,1.99,2.5
c_1,0.88,1.06,1.12,2.47,1.76,0.91,1.84,1.63,2.03,1.48,1.39,1.97,2.24,1.78,1.59,2.32
b_1,1.09,1.05,1.08,1.01,2.61,1.64,1.73,1.61,2.05,1.92,1.54,2.1,2.53,1.48,1.74,2.27
a_1,1.08,1.1,1.17,1.15,1.01,3.09,2.12,1.85,2.22,1.97,2.03,2.38,2.87,1.43,2.0,2.48
h_1,1.14,1.46,1.2,1.06,1.09,0.94,3.59,2.54,2.15,2.36,2.37,2.06,2.32,1.83,1.98,2.93
g_1,1.06,1.09,1.55,1.09,0.98,0.84,1.59,3.72,1.81,2.21,2.19,3.45,2.94,1.99,2.66,2.74
d_0,1.2,1.09,0.86,1.95,1.11,0.8,2.09,1.81,3.2,1.39,2.35,2.34,2.69,2.12,1.87,2.7
c_0,1.3,1.14,1.2,0.96,0.85,0.81,2.12,2.07,2.41,3.36,3.86,2.45,3.26,2.54,2.22,3.08
b_0,1.2,1.31,1.29,1.21,0.77,0.58,2.12,2.06,2.31,2.47,3.54,2.61,3.25,3.64,2.2,3.23
f_0,1.08,0.99,1.31,1.23,1.07,0.87,2.11,2.2,2.35,2.13,2.11,3.46,3.39,2.13,3.89,3.03
h_0,1.24,1.5,1.1,1.08,0.99,0.82,1.66,2.38,2.07,2.15,2.25,2.35,2.36,2.18,1.87,3.36
a_0,1.33,1.21,1.18,1.23,1.08,0.72,2.08,2.16,2.44,2.16,2.39,2.15,2.81,3.68,2.04,2.58
e_0,0.96,1.24,1.24,1.3,1.02,0.98,2.47,2.15,2.24,2.39,2.73,2.29,2.89,2.3,3.91,2.83
g_0,1.13,1.05,1.59,1.11,1.02,0.97,2.09,1.68,2.16,2.43,2.41,3.06,3.27,1.88,2.41,1.74
