,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,10.16,9.88,10.03,11.59,9.98,1.92,1.71,3.63,1.95,2.48,5.73,1.12,1.94,1.9,1.97
e_1,6.28,1.14,10.69,12.03,9.07,12.74,3.9,2.16,3.98,2.8,1.85,2.47,1.69,2.56,11.34,1.96
d_1,13.19,12.94,1.14,12.65,10.89,10.14,2.83,14.16,2.15,2.2,2.24,1.78,1.9,2.11,2.31,1.01
c_1,10.34,11.08,19.3,1.14,11.39,12.42,4.01,1.22,3.5,11.14,2.71,2.74,2.05,2.59,2.93,1.94
b_1,15.24,16.59,15.57,8.01,1.15,17.29,4.75,3.61,3.82,3.3,21.38,2.17,2.18,3.46,2.52,1.61
a_1,29.19,18.69,19.53,22.29,9.93,1.15,6.4,5.55,5.74,5.01,6.11,5.59,2.47,18.15,5.67,3.74
h_1,24.99,26.81,23.3,27.02,27.12,24.83,1.88,6.49,10.67,4.39,4.93,6.3,8.21,4.32,4.32,4.21
d_0,30.59,17.37,88.89,28.46,37.15,38.74,11.15,2.76,10.34,8.73,5.97,7.45,4.6,7.26,5.42,6.53
g_1,32.13,36.63,29.63,43.08,38.2,37.98,6.74,10.84,1.94,5.13,4.66,5.2,4.77,6.15,6.37,7.87
c_0,41.57,30.58,16.97,127.52,43.05,32.28,10.0,10.36,11.79,2.53,6.49,6.57,5.15,6.05,6.15,5.69
b_0,42.97,49.33,34.47,46.2,150.67,40.35,13.81,9.64,9.88,4.72,2.73,7.98,5.59,7.56,6.37,5.12
f_0,166.26,45.12,42.76,47.58,63.07,37.98,18.51,9.38,6.79,9.79,8.27,2.92,6.13,7.56,7.12,4.32
h_0,60.7,56.92,51.18,46.2,84.75,47.24,41.43,13.35,16.8,10.42,9.87,10.16,17.55,12.52,8.85,11.81
a_0,79.67,55.22,42.76,65.06,123.27,,19.33,16.14,15.63,9.36,5.7,10.64,7.72,2.93,15.78,9.3
e_0,88.93,97.37,45.04,65.06,96.86,48.42,14.03,11.19,14.61,10.25,8.69,5.02,7.15,10.37,2.84,9.03
g_0,91.05,71.15,71.87,86.16,82.18,49.67,16.42,13.61,42.0,14.04,13.86,11.76,8.39,12.1,9.07,19.19
