,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.39,1.27,1.14,0.92,1.0,1.22,2.24,1.85,3.51,1.59,2.83,2.76,2.85,3.37,2.27,3.24
f_1,1.11,2.42,1.72,1.01,1.12,0.87,1.91,2.07,2.4,2.57,2.5,1.69,2.7,2.66,1.91,2.87
e_1,1.06,0.99,2.55,1.46,1.12,1.07,2.11,2.15,2.46,4.29,2.88,2.67,2.78,3.15,1.88,3.12
c_1,1.18,1.19,0.94,2.6,1.75,1.21,2.2,2.36,1.19,1.97,1.61,2.58,2.14,2.91,2.49,2.64
b_1,1.23,1.16,1.02,1.01,2.81,1.82,2.23,2.36,2.55,2.62,1.19,2.22,1.97,2.76,2.24,2.85
a_1,1.01,1.16,1.03,1.31,1.15,3.28,2.73,2.05,2.23,2.5,2.8,2.72,0.98,3.3,3.38,3.77
h_1,1.38,1.65,1.13,1.12,1.07,0.86,3.97,2.86,2.7,2.51,3.07,2.55,2.5,2.79,3.05,3.99
g_1,1.73,1.14,1.12,1.12,1.03,1.17,2.26,4.39,2.26,2.42,3.08,3.73,2.81,3.45,3.51,2.6
c_0,1.27,1.31,1.47,1.17,1.0,1.16,2.41,2.55,3.97,3.01,4.66,2.67,3.3,3.25,3.0,3.72
d_0,1.03,1.24,1.06,2.22,1.26,1.13,2.29,2.54,1.82,3.83,2.53,2.48,2.98,3.52,2.6,2.9
b_0,1.33,1.42,1.11,1.71,0.88,0.87,2.41,2.52,2.22,2.9,4.11,2.7,4.27,3.23,2.92,3.35
f_0,1.38,0.83,1.16,1.32,1.33,1.2,2.75,2.45,3.11,2.69,2.84,4.43,2.85,3.47,6.24,3.56
a_0,1.19,1.23,1.24,1.66,1.26,0.99,2.52,2.5,2.57,2.73,2.6,2.64,4.66,3.86,2.94,3.22
h_0,1.29,1.64,1.24,1.37,1.09,1.14,1.67,2.94,2.69,2.62,2.8,2.75,2.84,2.62,2.28,3.71
e_0,1.33,1.29,0.97,1.48,1.52,1.26,2.33,2.11,2.69,2.78,2.78,2.05,2.56,4.3,5.03,2.94
g_0,1.82,1.23,1.17,1.21,1.18,0.97,2.3,1.96,2.79,2.61,2.81,3.55,2.81,3.46,3.49,2.83
