,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.92,0.4,0.58,0.33,0.35,0.23,0.32,0.38,0.32,0.29,0.32,0.17,0.25,0.33,0.16,0.27
c_1,0.42,0.92,0.37,0.62,0.36,0.24,0.3,0.36,0.2,0.28,0.19,0.27,0.19,0.32,0.21,0.27
e_1,0.49,0.49,0.92,0.37,0.29,0.21,0.37,0.63,0.33,0.26,0.31,0.27,0.24,0.34,0.13,0.28
b_1,0.44,0.38,0.36,0.91,0.36,0.45,0.33,0.34,0.3,0.28,0.22,0.27,0.17,0.3,0.23,0.26
d_1,0.41,0.32,0.4,0.34,0.92,0.27,0.33,0.28,0.6,0.28,0.4,0.35,0.27,0.33,0.23,0.32
a_1,0.47,0.39,0.41,0.34,0.37,0.89,0.36,0.35,0.35,0.28,0.3,0.32,0.16,0.34,0.23,0.33
h_1,0.58,0.48,0.43,0.37,0.4,0.25,0.64,0.38,0.34,0.39,0.32,0.29,0.23,0.3,0.2,0.37
d_0,0.5,0.7,0.37,0.49,0.27,0.19,0.34,0.56,0.26,0.28,0.25,0.3,0.23,0.4,0.26,0.3
c_0,0.49,0.36,0.44,0.32,0.43,0.27,0.4,0.41,0.59,0.29,0.6,0.36,0.38,0.42,0.26,0.32
g_1,0.45,0.41,0.4,0.36,0.59,0.22,0.29,0.36,0.41,0.62,0.32,0.43,0.27,0.37,0.23,0.25
b_0,0.56,0.48,0.4,0.29,0.4,0.22,0.39,0.43,0.41,0.33,0.54,0.33,0.54,0.4,0.25,0.34
f_0,0.46,0.47,0.37,0.4,0.4,0.3,0.37,0.44,0.41,0.29,0.36,0.52,0.27,0.4,0.43,0.31
a_0,0.56,0.48,0.45,0.41,0.35,0.22,0.39,0.46,0.33,0.35,0.37,0.31,0.49,0.42,0.25,0.27
h_0,0.63,0.43,0.37,0.4,0.41,0.25,0.26,0.4,0.32,0.37,0.35,0.28,0.28,0.31,0.23,0.37
e_0,0.57,0.46,0.34,0.4,0.42,0.26,0.41,0.36,0.36,0.28,0.34,0.29,0.26,0.41,0.46,0.36
g_0,0.43,0.42,0.33,0.38,0.55,0.3,0.38,0.38,0.42,0.25,0.37,0.45,0.25,0.41,0.32,0.27
