,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,9.27,1.81,0.56,0.7,0.64,0.54,0.89,0.89,0.83,1.06,0.98,0.59,0.97,0.92,0.71,0.93
e_1,0.73,10.32,0.66,0.92,0.64,0.65,1.02,1.04,0.92,2.53,1.04,1.0,0.96,1.01,0.7,0.85
d_1,0.8,0.65,11.86,0.59,0.59,0.68,0.94,0.88,2.5,0.51,1.31,0.96,0.96,0.99,0.98,0.95
c_1,0.65,0.55,0.67,11.7,1.79,0.79,0.93,0.88,0.51,0.76,0.7,1.12,0.95,0.91,0.96,0.96
b_1,0.73,0.58,0.78,0.63,12.25,1.87,0.85,0.9,0.88,0.73,0.61,0.97,0.9,0.72,0.97,0.88
a_1,0.76,0.58,0.84,0.76,0.71,19.2,1.0,0.88,0.88,0.82,0.84,0.9,1.01,0.69,1.12,1.12
h_1,1.13,0.74,0.94,0.79,0.72,0.72,2.94,1.23,0.77,0.91,0.98,1.23,0.96,1.24,1.11,1.56
g_1,0.61,0.62,1.65,0.79,0.66,0.74,1.03,3.83,1.19,0.85,1.02,1.86,1.19,1.08,1.41,1.08
c_0,0.87,0.83,0.89,0.58,0.59,0.72,1.05,1.05,1.98,1.17,3.34,1.09,1.22,1.61,1.22,1.29
d_0,0.69,0.58,0.54,2.57,0.86,0.75,0.97,1.05,0.6,2.03,0.85,1.09,1.2,1.03,1.11,0.96
b_0,0.87,0.79,0.77,1.04,0.57,0.51,1.41,1.26,0.99,1.24,2.57,1.09,1.39,3.31,1.34,1.32
f_0,0.66,0.64,1.0,0.88,0.72,0.85,1.12,1.16,0.91,1.03,1.35,2.53,1.22,1.04,3.1,1.24
h_0,1.13,0.64,0.97,0.77,0.8,0.75,0.77,1.46,1.08,0.99,0.94,1.1,0.65,0.97,1.15,1.57
a_0,0.73,0.69,0.96,0.95,0.84,0.48,1.11,1.17,0.99,1.0,1.03,1.1,1.45,2.55,1.25,1.21
e_0,1.2,0.64,0.94,0.7,0.74,0.55,1.24,1.04,1.04,0.91,1.16,1.35,1.57,1.39,3.53,1.28
g_0,0.7,0.57,1.62,0.82,0.82,0.77,0.88,0.63,1.07,0.77,0.97,2.02,1.18,1.2,1.44,0.91
