,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.2,1.02,1.51,1.89,4.19,24.2,43.99,23.65,,45.18,45.29,67.1,88.35,68.28,108.93
f_1,0.83,1.0,1.43,1.33,1.88,3.08,17.16,26.16,30.71,32.02,35.72,,54.86,74.36,65.22,86.63
e_1,0.98,0.7,1.0,1.33,1.72,3.57,15.34,23.32,21.47,31.54,31.26,51.56,55.89,75.28,84.9,
c_1,0.66,0.75,0.75,1.0,1.75,2.27,8.52,,16.14,14.3,19.19,23.16,53.15,56.32,58.35,85.6
b_1,0.53,0.53,0.58,0.57,1.0,,11.93,15.74,14.69,14.23,,31.14,43.19,37.44,54.56,40.02
a_1,0.24,0.32,0.28,0.44,,1.0,5.59,8.24,8.04,8.25,13.03,14.89,20.21,,29.98,
h_1,0.04,0.06,0.07,0.12,0.08,0.18,1.0,1.39,1.76,1.62,1.84,2.43,,3.99,6.17,3.83
c_0,0.02,0.04,0.04,,0.06,0.12,0.72,1.0,1.02,1.27,1.99,1.59,2.93,3.65,3.69,3.82
g_1,0.04,0.03,0.05,0.06,0.07,0.12,0.57,0.98,1.0,0.74,1.28,1.94,2.47,3.27,,2.85
d_0,,0.03,0.03,0.07,0.07,0.12,0.62,0.78,1.35,1.0,1.73,1.28,2.19,2.29,2.43,2.75
b_0,0.02,0.03,0.03,0.05,,0.08,0.54,0.5,0.78,0.58,1.0,1.5,1.85,4.02,2.63,2.58
f_0,0.02,,0.02,0.04,0.03,0.07,0.41,0.63,0.52,0.78,0.67,1.0,1.27,1.6,1.86,3.45
h_0,0.01,0.02,0.02,0.02,0.02,0.05,,0.34,0.4,0.46,0.54,0.79,,1.14,1.74,1.54
a_0,0.01,0.01,0.01,0.02,0.03,,0.25,0.27,0.31,0.44,0.25,0.62,0.88,1.0,1.52,1.3
g_0,0.01,0.02,0.01,0.02,0.02,0.03,0.16,0.27,,0.41,0.38,0.54,0.58,0.66,,1.31
e_0,0.01,0.01,,0.01,0.02,,0.26,0.26,0.35,0.36,0.39,0.29,0.65,0.77,0.76,1.0
