,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,94.32,16.13,22.95,24.84,26.4,78.6,1861.07,3108.77,4728.0,5715.93,5958.06,,14358.29,15891.79,21203.16,37894.48
d_1,9.88,111.15,11.94,21.71,26.11,74.49,1755.92,2950.91,6976.48,,8136.39,9079.87,17761.71,18360.98,21572.09,26620.27
e_1,9.57,11.06,116.64,20.14,27.04,71.76,1932.03,2847.7,3902.42,8168.64,6719.88,9191.67,14657.99,16505.55,,38173.87
c_1,8.09,9.25,10.1,161.98,42.67,76.51,1500.58,2868.16,,4256.19,6466.85,8585.11,12556.42,13339.13,19032.24,39173.1
b_1,7.18,9.86,9.92,10.9,218.23,109.64,1821.4,1440.17,3330.86,4159.05,,9666.63,12128.85,15513.1,15956.67,23838.63
a_1,5.22,7.67,6.65,10.46,12.32,498.59,1277.08,2173.89,2263.92,2687.77,4021.62,6251.9,10500.4,,,
h_1,6.28,5.85,5.55,10.18,10.95,24.02,3297.08,1811.36,1853.16,2228.54,3061.01,3279.58,,7091.53,11688.74,18012.57
g_1,4.03,6.54,5.38,7.37,15.94,23.41,829.21,4764.32,1452.72,1151.99,2663.6,4956.51,5033.43,7399.9,6500.01,
c_0,4.52,4.78,5.35,,10.24,38.97,746.19,1222.23,4519.74,2331.71,4216.34,3619.06,7846.42,10142.39,9090.81,12807.94
d_0,4.31,,4.91,12.31,9.97,28.35,874.79,1143.04,1381.6,5398.47,2682.13,3576.94,6731.2,5719.56,10617.13,12710.85
b_0,4.09,4.23,5.89,6.18,,23.3,809.55,1211.81,1304.86,1788.8,6782.84,3721.6,4846.9,10707.53,7163.18,10023.6
f_0,,3.99,3.69,6.87,7.05,19.44,847.27,1055.11,1504.03,1509.42,1952.96,8609.88,5919.52,6390.41,12853.12,10151.11
h_0,4.96,3.78,4.47,6.86,11.63,23.53,,1396.37,1285.0,1956.59,3059.43,2835.46,,5627.13,9059.12,14984.42
a_0,3.21,2.87,4.49,4.7,6.09,,558.3,584.32,773.99,1625.06,1290.14,2738.05,4300.99,15043.99,,9950.68
e_0,2.4,3.53,,5.11,6.66,,544.36,892.71,768.88,1150.1,1699.02,2130.5,3309.04,,18683.76,
g_0,2.33,5.38,2.05,3.9,10.06,,557.38,,1461.73,1251.37,2132.31,4023.32,4129.13,4531.57,,
