,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.25,0.88,0.47,0.44,0.35,0.33,0.88,0.74,0.86,0.89,0.35,1.03,1.04,0.83,0.63,0.9
e_1,0.54,2.28,0.44,0.5,0.52,0.28,0.74,0.87,1.93,1.08,1.08,1.01,1.3,0.82,0.41,1.13
d_1,0.57,0.47,2.33,0.4,0.36,0.34,0.87,0.88,0.42,1.98,1.1,1.02,1.37,0.88,1.0,1.14
c_1,0.48,0.46,0.49,2.47,0.82,0.26,0.78,0.78,0.9,0.19,1.05,0.64,1.03,0.78,0.85,0.94
b_1,0.5,0.5,0.48,0.47,2.62,0.74,1.03,0.75,1.23,0.69,0.8,0.33,1.17,0.47,0.75,0.88
a_1,0.62,0.45,0.55,0.42,0.43,3.14,1.0,0.8,0.7,0.99,0.92,0.88,1.38,0.26,0.81,1.0
h_1,0.85,0.5,0.65,0.58,0.47,0.51,3.04,1.3,1.19,0.87,0.97,1.05,0.72,0.92,1.0,1.64
g_1,0.63,0.54,0.88,0.58,0.45,0.47,1.07,3.13,1.02,1.07,1.6,1.09,1.2,1.11,1.04,0.64
d_0,0.57,0.63,0.28,1.14,0.54,0.49,1.08,1.13,2.62,0.76,1.36,0.97,1.42,1.15,0.79,1.24
c_0,0.71,0.58,0.74,0.37,0.43,0.35,1.17,0.92,1.14,2.63,1.16,2.48,1.67,1.4,1.17,1.45
f_0,0.36,0.49,0.78,0.73,0.57,0.42,1.17,0.96,1.22,1.43,2.79,0.95,1.59,0.88,2.24,1.73
b_0,0.68,0.49,0.73,0.72,0.25,0.34,1.09,1.05,1.41,1.27,1.25,2.95,1.79,2.24,1.06,1.56
h_0,0.97,0.65,0.65,0.55,0.42,0.38,0.68,1.57,1.13,1.14,1.04,1.26,0.86,1.03,0.84,1.9
a_0,0.66,0.5,0.9,0.6,0.57,0.16,1.05,0.99,1.18,1.13,1.19,1.04,1.7,3.05,1.27,1.73
e_0,0.69,0.32,0.6,0.6,0.59,0.56,1.48,0.86,1.63,1.27,1.3,1.32,1.84,1.12,3.08,1.12
g_0,0.49,0.54,0.94,0.6,0.56,0.45,1.04,0.79,0.97,1.47,1.9,1.29,1.36,1.06,1.31,0.82
