,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.39,2.16,1.41,1.43,1.34,1.24,2.58,3.08,2.68,3.02,2.47,3.13,3.57,2.71,2.74,3.93
e_1,1.39,2.41,1.87,1.36,1.45,1.49,3.0,4.9,2.98,3.16,3.56,3.22,4.35,3.14,3.64,3.6
c_1,1.57,1.15,2.59,1.56,2.42,1.5,2.6,2.43,2.79,2.01,2.98,2.43,3.78,2.92,3.12,4.21
d_1,1.47,1.54,1.2,2.63,1.4,1.48,3.06,2.66,2.8,5.3,3.68,3.79,3.98,3.56,3.22,3.72
b_1,1.57,1.42,1.32,1.45,2.83,2.54,2.87,3.35,2.97,3.0,2.98,2.35,4.16,3.3,3.28,4.2
a_1,1.64,1.43,1.7,1.61,1.26,3.24,2.99,3.42,2.75,3.12,3.04,3.28,4.18,3.53,3.11,4.01
h_1,1.94,1.48,1.77,1.51,1.45,1.32,4.32,2.86,3.7,3.12,3.08,3.57,3.28,2.99,3.24,4.86
d_0,1.59,1.28,2.45,1.31,1.62,1.51,3.33,4.15,2.94,2.9,3.74,3.47,3.94,3.13,3.23,5.07
g_1,1.54,1.4,1.42,2.13,1.46,1.39,2.78,2.92,4.69,3.05,4.67,3.45,3.86,3.89,4.09,3.62
c_0,1.62,1.69,1.44,1.41,1.44,1.45,3.31,3.45,3.71,4.44,3.64,6.09,4.43,4.33,4.41,4.4
f_0,1.39,1.21,1.66,1.64,1.76,1.79,3.45,3.42,2.77,3.75,4.63,3.63,4.24,6.65,3.57,4.3
b_0,1.71,1.62,1.9,1.56,1.35,1.33,3.21,3.06,3.39,2.64,3.23,4.73,4.21,3.67,5.87,4.71
h_0,1.95,1.46,1.54,1.54,1.52,1.54,2.9,3.3,3.52,3.09,3.14,3.53,3.77,3.72,3.47,4.94
e_0,1.56,1.3,1.75,1.58,1.78,1.5,3.63,3.67,3.2,3.21,3.09,3.83,4.63,5.51,4.19,4.89
a_0,1.91,1.46,1.7,1.6,1.6,1.1,3.11,3.34,2.86,3.01,3.48,3.0,4.7,3.59,5.48,4.59
g_0,1.16,1.51,1.56,2.12,1.64,1.62,2.88,2.61,2.72,3.61,4.62,3.67,3.96,3.91,3.23,3.99
