,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10074.1,336.21,186.25,277.48,361.81,1563.53,235616.47,379618.93,618534.84,894823.36,924070.21,,8336971.48,5241670.47,9052457.04,6340261.97
e_1,140.12,13441.58,188.35,318.47,348.46,1129.38,218413.56,241304.27,655284.76,1696401.03,602445.14,1820596.24,7516858.03,4091759.02,14176971.04,
d_1,177.08,151.6,13535.46,220.79,395.49,1206.4,206228.75,590702.62,1110537.21,,1357449.68,1270724.07,6774895.1,5561082.41,11274363.09,7623501.35
c_1,161.96,175.93,207.57,24660.65,721.24,1275.04,218401.42,302694.63,,1013921.52,977704.43,2117682.48,4455309.47,,14593130.08,8088799.11
b_1,137.41,183.38,190.14,356.11,35078.84,2645.07,234348.67,308556.97,569918.5,695083.08,,1737650.04,7740063.76,5664887.11,9597263.1,10306820.39
a_1,170.33,164.6,134.21,215.64,347.63,227456.7,208736.07,354010.47,562019.54,614865.33,1259457.38,2233880.26,8932488.65,,13947311.11,
h_1,682.06,663.71,611.2,1008.61,989.44,6092.95,10870754.66,1541633.39,2790968.35,2975106.31,6414788.69,4699531.23,,18672312.8,72813722.56,30515934.06
g_1,364.27,530.32,934.75,1337.38,1498.82,5978.75,805241.09,23352891.0,2835211.18,3095285.1,5419217.14,7118919.54,21450885.6,15955695.21,,
c_0,675.58,693.53,861.52,,1568.06,10555.25,1101656.21,2018580.74,19890968.73,5569852.53,8993132.22,9166537.23,37077938.47,27315562.21,67115349.37,30226009.95
d_0,824.89,925.71,,2431.98,1958.13,10577.32,1157209.37,2485952.91,2266016.98,26074681.71,6347536.88,8370471.52,38015903.3,27920127.08,58577522.67,50326681.58
b_0,671.76,706.32,793.5,1444.9,,6891.0,1142285.95,2372097.51,2665513.26,4718710.64,44569861.96,7069049.7,24078958.01,71331941.02,73781005.79,49180890.23
f_0,,938.34,767.89,1290.72,2141.97,10909.23,1109680.06,1500941.95,2323845.39,5257654.79,7935421.02,62132422.49,33416625.77,34647905.94,46684846.05,103222021.76
h_0,1263.42,1348.86,1207.63,1924.13,3127.96,8237.02,,4174188.25,5231726.0,5668409.07,9189107.33,12071211.39,,66408486.39,126323701.07,
a_0,552.04,736.71,824.47,,1601.64,,917847.36,2834387.83,3706940.71,3669260.4,4845788.93,10650204.16,41459736.22,343899004.3,61328656.98,
g_0,889.05,1010.69,1903.17,1853.66,2292.8,14862.18,1909311.02,,3979973.17,7386595.39,7804053.84,15246184.62,44513427.84,46153584.5,,
e_0,501.01,,1077.5,1716.79,1976.89,,1436938.84,,3868941.83,5744422.22,6031376.03,9941939.35,,,,520042376.3
