,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.35,1.24,0.66,0.8,0.72,0.71,1.42,1.61,1.36,1.56,0.92,1.67,1.63,1.65,1.29,2.02
e_1,0.68,2.37,0.92,0.65,0.69,0.78,1.39,2.68,1.74,1.77,1.85,1.8,2.63,1.04,1.96,1.71
c_1,0.86,0.64,2.55,0.79,1.3,0.75,1.48,1.35,1.35,0.5,1.63,1.4,2.15,1.26,1.68,2.51
d_1,0.74,0.8,0.69,2.58,0.67,0.69,1.7,0.87,1.39,2.8,2.0,1.63,1.9,1.85,1.68,1.85
b_1,0.85,0.72,0.63,0.87,2.8,1.3,1.33,1.75,1.42,1.35,1.6,0.88,2.22,1.66,1.87,2.06
a_1,0.85,0.75,0.97,0.84,0.58,3.21,1.35,2.0,1.3,1.56,1.52,1.7,2.24,1.8,0.86,2.01
h_1,1.37,0.87,1.05,0.9,1.0,0.92,4.01,1.91,2.66,2.59,1.67,2.02,1.78,1.87,2.08,3.14
d_0,1.15,0.84,1.67,0.59,0.98,0.88,2.31,3.59,1.86,2.35,2.87,2.29,2.8,1.8,1.94,3.77
g_1,1.05,0.86,0.95,1.44,0.96,1.06,1.73,2.0,4.37,1.67,3.1,2.32,2.32,2.72,2.34,2.04
c_0,1.08,1.1,0.68,0.99,1.05,0.92,1.84,2.05,2.41,3.84,2.27,3.93,2.63,2.84,2.73,2.4
f_0,0.65,0.82,1.18,1.21,1.12,1.07,2.26,1.97,1.68,2.51,4.04,2.46,2.71,4.51,2.13,3.04
b_0,1.06,1.08,1.27,0.85,0.59,0.93,2.38,2.19,2.41,2.16,2.34,4.11,2.66,2.24,3.77,2.73
h_0,1.41,0.85,0.96,0.92,1.02,1.01,1.47,2.02,2.49,2.08,2.27,2.69,1.99,2.34,2.08,3.01
e_0,0.91,0.7,1.19,0.91,1.23,1.0,2.46,3.07,2.01,2.47,2.07,2.95,2.97,5.06,2.98,3.34
a_0,1.27,0.8,1.21,1.12,1.04,0.65,2.39,2.65,1.78,2.12,1.94,2.24,3.12,2.67,5.01,3.2
g_0,0.79,1.06,0.98,1.47,1.14,0.94,2.06,1.36,1.04,2.25,2.66,2.52,2.48,2.36,1.98,1.69
