,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,15.1,0.6,0.73,0.45,0.52,0.45,0.86,1.93,0.8,1.2,0.78,1.01,1.05,1.03,0.39,0.94
f_1,1.15,15.28,0.51,0.5,0.49,0.41,0.73,0.75,0.76,0.69,0.74,0.33,0.8,1.05,0.69,0.8
c_1,0.46,0.46,18.42,0.58,1.21,0.55,0.96,0.81,0.21,0.48,0.68,0.74,0.79,0.7,1.16,0.97
d_1,0.53,0.54,0.3,21.69,0.48,0.6,0.91,0.33,2.1,1.42,1.15,1.18,1.07,0.97,1.04,1.17
b_1,0.37,0.56,0.59,0.59,22.02,1.29,0.77,0.96,0.83,0.35,0.6,0.94,0.84,0.77,0.88,0.78
a_1,0.39,0.6,0.58,0.58,0.46,33.65,0.96,0.97,1.25,1.07,0.89,1.0,1.44,0.39,1.16,0.83
h_1,0.56,1.1,0.73,0.68,0.57,0.64,5.72,0.76,1.15,1.24,1.48,1.37,0.49,0.92,1.23,1.54
d_0,0.73,0.56,2.11,0.27,0.65,0.55,1.17,3.15,0.79,1.25,1.04,1.23,1.12,1.18,1.08,1.36
c_0,0.81,0.75,0.28,0.83,0.56,0.66,1.18,1.11,3.61,2.7,1.31,1.44,1.39,1.39,1.26,1.15
b_0,0.93,0.86,0.74,0.61,0.23,0.44,1.26,1.38,1.5,4.49,1.32,1.12,1.42,3.37,1.18,1.5
g_1,0.57,0.63,0.6,1.11,0.61,0.58,1.45,0.76,1.41,1.36,8.97,2.04,1.1,1.36,1.33,0.62
f_0,0.41,0.42,0.78,0.93,0.55,0.65,1.38,1.3,1.24,1.43,1.81,5.69,1.67,1.08,3.7,1.63
h_0,0.58,1.04,0.75,0.84,0.56,0.72,0.65,0.97,1.31,1.24,2.1,1.18,0.79,1.06,1.31,1.71
a_0,0.78,0.72,0.81,0.76,0.5,0.27,1.3,1.42,1.2,1.29,1.77,1.41,1.34,5.24,1.51,1.51
e_0,0.28,0.88,0.62,1.09,0.6,0.74,1.17,0.87,1.28,1.13,1.77,1.39,1.71,1.26,5.49,1.45
g_0,0.43,0.54,0.8,1.52,0.77,0.58,1.21,0.9,1.35,1.07,0.6,2.53,1.38,1.04,1.34,0.88
