,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,34.85,0.06,0.07,0.05,0.07,0.07,0.31,0.37,0.44,0.59,0.33,0.28,0.24,0.59,,0.6
f_1,0.14,37.85,0.06,0.08,0.07,0.05,0.31,0.23,0.36,0.45,,0.31,0.35,0.48,0.23,0.55
d_1,0.06,0.06,38.42,0.05,0.08,0.1,0.3,0.32,0.67,,0.35,0.3,0.32,0.5,0.54,0.59
c_1,0.08,0.05,0.06,45.5,0.13,0.07,0.37,0.27,,0.33,0.38,0.36,0.39,0.56,0.38,0.5
b_1,0.07,0.08,0.07,0.06,50.2,0.11,0.33,0.24,0.34,0.39,0.44,,0.26,0.74,0.27,0.46
a_1,0.11,0.05,0.06,0.06,0.07,73.21,0.32,0.24,0.39,0.33,0.33,0.27,,0.75,0.45,0.47
h_1,0.22,0.31,0.18,0.25,0.22,0.29,26.65,1.26,1.34,1.73,1.28,1.82,1.86,,1.7,3.31
g_1,0.2,0.3,0.31,0.4,0.29,0.26,0.69,30.91,1.4,0.82,2.11,1.74,1.84,2.32,,
c_0,0.21,0.33,0.42,,0.27,0.38,1.52,1.66,17.22,2.16,2.03,4.26,1.87,2.71,1.99,3.66
d_0,0.33,0.4,,0.67,0.38,,1.5,1.3,2.23,18.84,1.52,1.9,1.96,4.32,1.76,2.6
f_0,0.3,,0.44,0.31,0.26,0.34,1.23,1.37,2.64,2.37,21.78,1.74,1.48,2.56,4.56,3.54
b_0,0.28,0.34,0.36,0.35,,0.34,1.73,1.56,1.67,2.29,2.8,21.16,3.38,2.33,1.53,2.98
a_0,0.31,0.37,0.37,0.37,0.24,,1.82,1.45,1.42,1.78,2.37,1.59,30.31,3.32,1.98,2.23
h_0,0.44,0.93,0.59,0.52,0.61,0.61,,3.36,3.07,3.0,2.58,2.83,2.28,,2.21,4.6
e_0,,0.39,0.28,0.37,0.48,,1.8,,1.59,2.33,2.03,3.06,,4.08,32.16,3.31
g_0,0.52,0.39,1.01,0.56,0.41,0.56,1.51,,3.15,2.39,4.24,2.74,2.97,5.46,3.32,
