,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.58,1.0,0.93,0.97,0.79,0.29,0.23,0.2,0.28,0.22,0.25,0.18,0.14,0.23,0.14
f_1,0.84,0.42,0.93,0.87,0.91,0.88,0.2,0.2,0.19,0.31,0.2,0.22,0.17,0.1,0.16,0.14
c_1,0.77,0.98,0.41,1.27,0.83,0.8,0.29,0.13,0.27,0.28,0.23,0.2,0.19,0.14,0.2,0.15
d_1,1.07,1.14,0.94,0.4,0.93,0.79,0.26,0.3,0.19,0.18,0.18,0.21,0.18,0.14,0.15,0.09
b_1,0.99,1.11,0.62,1.09,0.39,1.0,0.29,0.2,0.28,0.26,0.25,0.2,0.22,0.16,0.2,0.16
a_1,1.32,1.37,1.24,1.32,0.75,0.32,0.37,0.34,0.27,0.39,0.27,0.26,0.35,0.19,0.29,0.21
h_1,1.8,1.93,1.96,1.66,1.63,1.48,0.28,0.45,0.33,0.49,0.36,0.35,0.31,0.37,0.27,0.24
d_0,1.23,1.69,2.27,2.61,1.95,1.75,0.59,0.3,0.41,0.69,0.44,0.39,0.36,0.31,0.38,0.32
c_0,2.32,2.21,2.89,1.18,2.23,2.05,0.6,0.59,0.29,0.56,0.37,0.42,0.34,0.28,0.34,0.23
g_1,2.16,2.58,2.04,1.92,1.86,1.84,0.48,0.44,0.4,0.26,0.39,0.38,0.37,0.22,0.36,0.34
b_0,2.53,2.29,2.6,1.58,2.55,2.42,0.58,0.61,0.25,0.57,0.27,0.4,0.39,0.27,0.4,0.31
f_0,1.99,2.78,2.39,2.3,2.29,2.0,0.67,0.5,0.38,0.43,0.45,0.27,0.45,0.31,0.41,0.21
a_0,2.42,2.32,3.12,2.25,3.04,2.64,0.68,0.58,0.44,0.73,0.29,0.5,0.26,0.37,0.39,0.37
h_0,2.41,2.65,2.43,2.32,2.46,2.41,1.04,0.54,0.5,0.71,0.5,0.46,0.46,0.42,0.46,0.38
e_0,3.4,3.39,2.83,2.29,2.56,2.2,0.72,0.61,0.54,0.6,0.54,0.29,0.49,0.36,0.28,0.33
g_0,2.89,2.79,2.88,2.69,2.71,2.22,0.68,0.67,0.57,0.95,0.54,0.55,0.54,0.3,0.4,0.41
