,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.46,1.2,1.59,1.98,3.74,18.83,28.91,30.26,36.25,,50.77,59.73,141.6,99.26,153.37
e_1,0.68,1.0,1.45,1.19,1.85,3.65,24.55,40.41,42.42,34.95,38.12,45.65,84.07,,141.21,96.6
c_1,0.83,0.69,1.0,0.93,1.98,2.39,16.55,18.54,28.74,,31.33,28.31,53.73,,87.24,111.7
d_1,0.63,0.84,1.07,1.0,1.2,2.51,20.44,,19.17,31.9,34.88,32.29,45.38,73.31,90.41,64.3
b_1,0.5,0.54,0.51,0.83,1.0,2.3,10.82,15.13,16.68,18.38,18.92,,35.83,,65.85,53.68
a_1,0.27,0.27,0.42,0.4,0.43,1.0,7.46,10.63,9.31,,11.48,,22.94,31.64,,35.89
h_1,0.05,0.04,0.06,0.05,0.09,0.13,1.0,1.18,1.88,1.92,1.41,1.9,,4.22,5.41,5.07
d_0,0.03,0.02,0.05,,0.07,0.09,0.85,1.0,1.07,1.55,1.67,1.43,2.57,2.78,3.95,5.31
g_1,0.03,0.02,0.03,0.05,0.06,0.11,0.53,0.93,1.0,0.94,1.79,1.27,1.6,,3.95,
c_0,0.03,0.03,,0.03,0.05,,0.52,0.65,1.06,1.0,1.25,1.72,1.82,2.96,3.06,2.57
f_0,,0.03,0.03,0.03,0.05,0.09,0.71,0.6,0.56,0.8,1.0,1.16,1.97,4.25,,2.51
b_0,0.02,0.02,0.04,0.03,,,0.53,0.7,0.79,0.58,0.86,1.0,1.41,1.92,3.06,2.51
h_0,0.02,0.01,0.02,0.02,0.03,0.04,,0.39,0.63,0.55,0.51,0.71,,1.52,1.46,1.8
e_0,0.01,,,0.01,,0.03,0.24,0.36,,0.34,0.24,0.52,0.66,1.0,,1.09
a_0,0.01,0.01,0.01,0.01,0.02,,0.18,0.25,0.25,0.33,,0.33,0.69,,1.0,
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.19,,0.39,0.4,0.4,0.56,0.92,,
